Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
19	16:44:43	16:44:43	16:44:43	16:44:43	16:44:43	16:44:43			16:44:43	16:44:43	16:44:44	16:44:44	16:44:44	16:44:44	16:44:44	16:44:44			16:44:45	16:44:45		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
20	16:44:45	16:44:45	16:44:45	16:44:45	16:44:45	16:44:45	16:44:45	16:44:45	16:44:45	16:44:45	16:44:47	16:44:47	16:44:47	16:44:47	16:44:47	16:44:47	16:44:47	16:44:47	16:44:49	16:44:49		00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00	00:00:00	00:00:01	00:00:03
21	16:44:49	16:44:49	16:44:49	16:44:49	16:44:49	16:44:49			16:44:49	16:44:49	16:44:50	16:44:50	16:44:50	16:44:50	16:44:50	16:44:50			16:44:51	16:44:51		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
22	16:44:52	16:44:52	16:44:52	16:44:52	16:44:52	16:44:52			16:44:52	16:44:52	16:44:53	16:44:53	16:44:53	16:44:53	16:44:53	16:44:53			16:44:54	16:44:54		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
23	16:44:54	16:44:54	16:44:54	16:44:54	16:44:54	16:44:54			16:44:54	16:44:54	16:44:56	16:44:56	16:44:56	16:44:56	16:44:56	16:44:56			16:44:56	16:44:56		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
24	16:44:57	16:44:57	16:44:57	16:44:57	16:44:57	16:44:57			16:44:57	16:44:57	16:44:58	16:44:58	16:44:58	16:44:58	16:44:58	16:44:58			16:44:59	16:44:59		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
25	16:44:59	16:44:59	16:44:59	16:44:59	16:44:59	16:44:59			16:44:59	16:44:59	16:45:01	16:45:01	16:45:01	16:45:01	16:45:01	16:45:01			16:45:02	16:45:02		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
26	16:45:02	16:45:02	16:45:02	16:45:02	16:45:02	16:45:02			16:45:02	16:45:02	16:45:03	16:45:03	16:45:03	16:45:03	16:45:03	16:45:03			16:45:04	16:45:04		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
27	16:45:05	16:45:05	16:45:05	16:45:05	16:45:05	16:45:05			16:45:05	16:45:05	16:45:06	16:45:06	16:45:06	16:45:06	16:45:06	16:45:06			16:45:07	16:45:07		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
28	16:45:08	16:45:08	16:45:08	16:45:08	16:45:08	16:45:08			16:45:08	16:45:08	16:45:09	16:45:09	16:45:09	16:45:09	16:45:09	16:45:09			16:45:10	16:45:10		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
29	16:45:10	16:45:10	16:45:10	16:45:10	16:45:10	16:45:10			16:45:10	16:45:10	16:45:12	16:45:12	16:45:12	16:45:12	16:45:12	16:45:12			16:45:13	16:45:13		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
30	16:45:13	16:45:13	16:45:13	16:45:13	16:45:13	16:45:13	16:45:13	16:45:13	16:45:13	16:45:13	16:45:15	16:45:15	16:45:15	16:45:15	16:45:15	16:45:15	16:45:15	16:45:15	16:45:16	16:45:16		00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00	00:00:00	00:00:01	00:00:03
31	16:45:17	16:45:17	16:45:17	16:45:17	16:45:17	16:45:17			16:45:17	16:45:17	16:45:18	16:45:18	16:45:18	16:45:18	16:45:18	16:45:18			16:45:19	16:45:19		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
32	16:45:19	16:45:19	16:45:19	16:45:19	16:45:19	16:45:19			16:45:19	16:45:19	16:45:21	16:45:21	16:45:21	16:45:21	16:45:21	16:45:21			16:45:22	16:45:22		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
33	16:45:22	16:45:22	16:45:22	16:45:22	16:45:22	16:45:22			16:45:22	16:45:22	16:45:23	16:45:23	16:45:23	16:45:23	16:45:23	16:45:23			16:45:24	16:45:24		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
34	16:45:24	16:45:24	16:45:24	16:45:24	16:45:24	16:45:24			16:45:24	16:45:24	16:45:25	16:45:25	16:45:25	16:45:25	16:45:25	16:45:25			16:45:26	16:45:26		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
35	16:45:26	16:45:26	16:45:26	16:45:26	16:45:26	16:45:26			16:45:26	16:45:26	16:45:27	16:45:27	16:45:27	16:45:27	16:45:27	16:45:27			16:45:28	16:45:28		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
36	16:45:29	16:45:29	16:45:29	16:45:29	16:45:29	16:45:29			16:45:29	16:45:29	16:45:31	16:45:31	16:45:31	16:45:31	16:45:31	16:45:31			16:45:32	16:45:32		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:03
37	16:45:32	16:45:32	16:45:32	16:45:32	16:45:33	16:45:33			16:45:33	16:45:33	16:45:34	16:45:34	16:45:34	16:45:34	16:45:34	16:45:34			16:45:35	16:45:35		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:03
38	16:45:36	16:45:36	16:45:36	16:45:36	16:45:36	16:45:36			16:45:36	16:45:36	16:45:37	16:45:37	16:45:37	16:45:37	16:45:37	16:45:37			16:45:38	16:45:38		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
39	16:45:38	16:45:38	16:45:38	16:45:38	16:45:38	16:45:38			16:45:38	16:45:38	16:45:40	16:45:40	16:45:40	16:45:40	16:45:40	16:45:40			16:45:41	16:45:41		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
40	16:45:41	16:45:41	16:45:41	16:45:41	16:45:41	16:45:41	16:45:41	16:45:41	16:45:41	16:45:41	16:45:43	16:45:43	16:45:43	16:45:43	16:45:43	16:45:43	16:45:43	16:45:43	16:45:44	16:45:44		00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00	00:00:00	00:00:01	00:00:03
41	16:45:44	16:45:44	16:45:44	16:45:44	16:45:45	16:45:45			16:45:45	16:45:45	16:45:46	16:45:46	16:45:46	16:45:46	16:45:46	16:45:46			16:45:47	16:45:47		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
42	16:45:48	16:45:48	16:45:48	16:45:48	16:45:48	16:45:48			16:45:48	16:45:48	16:45:50	16:45:50	16:45:50	16:45:50	16:45:50	16:45:50			16:45:51	16:45:51		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:03
43	16:45:51	16:45:51	16:45:51	16:45:51	16:45:51	16:45:51			16:45:51	16:45:51	16:45:53	16:45:53	16:45:53	16:45:53	16:45:53	16:45:53			16:45:54	16:45:54		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
44	16:45:54	16:45:54	16:45:54	16:45:54	16:45:54	16:45:54			16:45:54	16:45:54	16:45:55	16:45:55	16:45:55	16:45:55	16:45:55	16:45:55			16:45:56	16:45:56		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
45	16:45:57	16:45:57	16:45:57	16:45:57	16:45:57	16:45:57			16:45:57	16:45:57	16:45:58	16:45:58	16:45:58	16:45:58	16:45:58	16:45:58			16:45:59	16:45:59		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
46	16:45:59	16:45:59	16:45:59	16:45:59	16:45:59	16:45:59			16:45:59	16:45:59	16:46:01	16:46:01	16:46:01	16:46:01	16:46:01	16:46:01			16:46:02	16:46:02		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
