ITERATION	AvgTripDuration	EvacuationEndSeconds	CarRatio	AvgTravelDistance
0	6519.8	14100	1.0	3697.0105883426195
1	5945.6	13500	0.948	3696.665756119222
2	5613.6	13200	0.912	3697.5846173552095
3	5392.8	12900	0.904	3675.2552567827897
4	4931.6	12600	0.876	3640.0863831625397
5	4814.3	12300	0.85	3671.1892550786615
6	4451.9	11700	0.826	3640.617198947098
7	4412.5	11700	0.824	3656.4418419382446
8	4146.3	11400	0.802	3647.7066391060507
9	3988.1	11100	0.778	3656.8167362342597
10	3994.0	11100	0.784	3679.7865406078718
11	3733.8	10500	0.75	3709.6610220205707
12	3569.1	10200	0.736	3686.2034477305215
13	3399.0	9900	0.724	3707.88919653826
14	3275.6	9600	0.734	3722.3548442783313
15	3175.7	9000	0.72	3751.479170244749
16	3154.8	9000	0.722	3768.1068709531582
17	3008.2	8700	0.718	3762.808580584668
18	2922.3	8400	0.71	3791.7562518660875
19	2916.1	8400	0.706	3797.070875357166
20	2873.5	8100	0.7	3831.6785801460865
21	2724.1	7800	0.696	3840.81496980631
22	2671.1	7800	0.69	3852.451647392298
23	2682.2	7500	0.696	3883.83486768304
24	2663.2	7800	0.69	3877.0840448112776
25	2552.1	7500	0.694	3909.374625660212
26	2529.3	7500	0.692	3942.821933150704
27	2521.2	7500	0.688	3942.3136960365086
28	2407.9	7500	0.684	3937.7544786844214
29	2453.9	7500	0.684	3970.0754140585177
30	2397.2	7500	0.688	3995.30725330181
31	2422.0	7500	0.712	4010.0755062474054
32	2362.4	7500	0.704	4041.0632605326623
33	2353.9	7500	0.706	4061.247747805556
34	2295.7	7500	0.718	4039.3014188573347
35	2265.4	7500	0.714	4059.453496983395
36	2259.3	7500	0.724	4108.717978986267
37	2268.3	7500	0.738	4115.177872167087
38	2268.9	7500	0.744	4169.4631254127335
39	2212.8	7500	0.744	4182.5834654477185
40	2150.6	7500	0.732	4199.6438246116495
41	2177.1	7500	0.756	4275.044246057827
42	2207.4	7500	0.754	4303.655270959554
43	2158.5	7500	0.748	4277.114085384959
44	2069.1	7500	0.734	4274.242707325239
45	2079.1	7500	0.748	4314.649771049082
46	2066.5	7500	0.744	4320.628278115826
47	2045.5	7500	0.742	4299.603183704184
48	2035.8	7500	0.744	4325.2676693412395
49	2033.5	7500	0.766	4323.103637540367
50	2065.9	7500	0.756	4348.05774193017
51	2098.3	7500	0.774	4356.457653078848
52	2076.4	7500	0.776	4404.320492615503
53	2006.1	7500	0.78	4413.9055661695675
54	2051.9	7500	0.784	4468.440070689911
55	2032.1	7500	0.776	4451.624508532426
56	1955.1	7500	0.778	4423.677304230951
57	2014.3	7500	0.79	4481.586873044907
58	1957.8	7500	0.8	4525.358572970894
59	1950.2	7500	0.798	4542.903168044076
60	1978.5	7500	0.79	4531.021634836683
61	1948.5	7500	0.798	4547.528266284002
62	1998.4	7500	0.792	4532.713673339481
63	1999.1	7500	0.806	4566.291829095869
64	1939.8	7500	0.794	4564.211110607883
65	1894.6	7500	0.796	4579.536798791538
66	1870.4	7500	0.8	4554.569325401782
67	1893.5	7500	0.796	4578.120662115237
68	1857.8	7500	0.796	4546.19165828623
69	1821.1	7500	0.784	4515.187704575813
70	1864.1	7500	0.794	4564.908565844899
71	1814.8	7500	0.784	4521.4684825072745
72	1832.6	7500	0.78	4536.6826110407355
73	1814.8	7500	0.794	4519.511347124341
74	1794.1	7500	0.802	4538.705143566309
75	1810.6	7500	0.788	4501.212909104792
76	1792.5	7500	0.772	4491.141174920579
77	1805.0	7500	0.786	4517.939679877827
78	1805.9	7500	0.79	4538.015750235347
79	1805.1	7500	0.8	4539.282569381528
80	1839.0	7500	0.798	4531.916461477757
81	1857.5	7500	0.822	4618.395466951261
82	1866.6	7500	0.812	4625.675727541434
83	1867.8	7500	0.81	4596.000215733634
84	1828.3	7500	0.814	4593.8460659026605
85	1861.7	7500	0.812	4622.1905876353785
86	1863.4	7500	0.812	4633.078134710193
87	1870.5	7500	0.826	4607.771143990669
88	1892.1	7500	0.81	4656.950695586049
89	1843.4	7500	0.822	4643.661297299125
90	1862.8	7500	0.83	4680.401714919794
91	1844.1	7500	0.832	4656.411210680127
92	1872.1	7500	0.842	4701.68923429153
93	1859.5	7500	0.826	4684.35966026899
94	1829.6	7500	0.812	4677.106679713148
95	1816.6	7500	0.834	4717.802773340698
96	1863.8	7500	0.85	4772.783646238816
97	1823.5	7500	0.838	4749.760421841295
98	1781.3	7500	0.82	4669.003376353315
99	1724.2	7500	0.828	4723.820713022063
100	1744.9	7500	0.812	4657.381024574576
