Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	15:40:36	15:40:36	15:40:36			15:40:36	15:40:36	15:40:36	15:40:36	15:40:36	15:40:41	15:40:41	15:40:41	15:40:41	15:40:41	15:40:41			15:40:42	15:40:42		00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:01	00:00:05
1	15:40:42	15:40:42	15:40:42	15:40:42	15:40:43	15:40:43	15:40:43	15:40:43	15:40:43	15:40:43	15:40:46	15:40:46	15:40:46	15:40:46	15:40:46	15:40:46			15:40:48	15:40:48		00:00:00	00:00:00	00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:01	00:00:05
2	15:40:48	15:40:48	15:40:48	15:40:48	15:40:48	15:40:48			15:40:48	15:40:48	15:40:50	15:40:50	15:40:50	15:40:50	15:40:50	15:40:50			15:40:51	15:40:51		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:03
3	15:40:52	15:40:52	15:40:52	15:40:52	15:40:52	15:40:52			15:40:52	15:40:52	15:40:54	15:40:54	15:40:54	15:40:54	15:40:54	15:40:54			15:40:55	15:40:55		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:03
4	15:40:55	15:40:55	15:40:55	15:40:55	15:40:55	15:40:55			15:40:55	15:40:55	15:40:58	15:40:58	15:40:58	15:40:58	15:40:58	15:40:58			15:40:59	15:40:59		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:03
5	15:40:59	15:40:59	15:40:59	15:40:59	15:40:59	15:40:59			15:40:59	15:40:59	15:41:01	15:41:01	15:41:01	15:41:01	15:41:01	15:41:01			15:41:03	15:41:03		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:03
6	15:41:03	15:41:03	15:41:03	15:41:03	15:41:03	15:41:03			15:41:03	15:41:03	15:41:05	15:41:05	15:41:05	15:41:05	15:41:05	15:41:05			15:41:06	15:41:06		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:03
7	15:41:06	15:41:06	15:41:06	15:41:06	15:41:06	15:41:06			15:41:06	15:41:06	15:41:09	15:41:09	15:41:09	15:41:09	15:41:09	15:41:09			15:41:10	15:41:10		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:03
8	15:41:10	15:41:10	15:41:10	15:41:10	15:41:10	15:41:10			15:41:10	15:41:10	15:41:12	15:41:12	15:41:12	15:41:12	15:41:12	15:41:12			15:41:14	15:41:14		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:03
9	15:41:14	15:41:14	15:41:14	15:41:14	15:41:14	15:41:14			15:41:14	15:41:14	15:41:16	15:41:16	15:41:16	15:41:16	15:41:16	15:41:16			15:41:17	15:41:17		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
