ITERATION	AvgTripDuration	EvacuationEndSeconds	CarRatio	AvgTravelDistance
0	6645.4	14100	1.0	3697.0105883426195
1	5086.5	12600	0.952	3707.2416120212306
2	4144.3	11400	0.912	3695.9425923057056
3	3758.0	11100	0.886	3701.7324538999574
4	3117.8	10200	0.85	3709.0129595351955
5	2694.4	9000	0.824	3731.9831271524154
6	2442.2	8400	0.806	3781.923166612007
7	2456.4	8400	0.804	3813.432395544477
8	2351.9	8400	0.8	3863.229270797342
9	2211.3	8400	0.766	3775.259405658233
10	2101.6	7500	0.772	3891.36323274124
11	1973.6	7200	0.764	3899.084721206344
12	1857.2	6600	0.758	3940.822042635802
13	1825.6	6300	0.748	3899.0992192574327
14	1804.6	6000	0.754	3993.7361580156708
15	1776.8	5700	0.754	4009.328677820275
16	1733.6	5700	0.744	4032.4187199756816
17	1743.5	5700	0.736	3930.5711120705337
18	1637.0	5100	0.734	4013.4720048463205
19	1649.7	5400	0.734	4050.952506159608
20	1603.6	5100	0.726	3973.55809015467
21	1692.2	5400	0.742	4095.638385930313
22	1601.4	5100	0.726	4075.7793095554916
23	1545.1	5100	0.728	4070.4865202176825
24	1644.7	6000	0.734	4146.653231582327
25	1648.5	5400	0.756	4281.61733416885
26	1678.0	5100	0.76	4226.60018418052
27	1616.7	5100	0.754	4281.078012149309
28	1598.0	5100	0.748	4228.812745129209
29	1629.0	4800	0.77	4315.335161294984
30	1637.7	5100	0.758	4320.4984515838705
31	1645.4	5100	0.778	4371.034926130734
32	1583.3	5100	0.754	4279.032586521363
33	1577.3	5100	0.758	4342.451541699099
34	1611.1	5100	0.758	4307.669697347605
35	1599.2	5100	0.778	4434.0681978471575
36	1625.8	4800	0.77	4453.216941615971
37	1657.4	5100	0.78	4421.862206342794
38	1681.3	5100	0.8	4532.967813525306
39	1669.1	4800	0.788	4420.972897963863
40	1610.9	4800	0.788	4474.47840039731
41	1657.3	5100	0.786	4452.479156893277
42	1659.3	4800	0.796	4552.245227382215
43	1622.3	4800	0.782	4515.849616748124
44	1659.6	5100	0.806	4553.785755885666
45	1657.0	5100	0.798	4587.057536505947
46	1630.0	5100	0.792	4527.87336102816
47	1617.0	5100	0.79	4533.941978602682
48	1644.4	4800	0.804	4615.900511561887
49	1667.9	5100	0.802	4625.402798655977
50	1658.9	5100	0.794	4565.979867838969
51	1671.3	5100	0.796	4516.524176186089
52	1722.6	5100	0.808	4577.257228560736
53	1636.4	4800	0.798	4595.69310695123
54	1662.5	5400	0.79	4538.442189388066
55	1628.7	4800	0.796	4552.532981520668
56	1718.3	5100	0.828	4757.502456676767
57	1648.3	4800	0.8	4580.601949140641
58	1662.6	4800	0.804	4624.489564512976
59	1657.1	4800	0.816	4705.157647056827
60	1615.2	4500	0.796	4597.547655869705
61	1659.9	5100	0.77	4487.960188928359
62	1602.2	4500	0.794	4673.464975509471
63	1588.1	4800	0.766	4481.977505442573
64	1620.4	4200	0.802	4604.60737650083
65	1621.7	6000	0.802	4610.356392239185
66	1545.3	4800	0.766	4481.619579737471
67	1528.3	4800	0.764	4486.835129323955
68	1608.4	5100	0.786	4574.291825418329
69	1544.2	5100	0.766	4521.28583078964
70	1617.0	5400	0.786	4537.489045710811
71	1577.0	5100	0.786	4554.945659764142
72	1566.3	5100	0.77	4557.25194597392
73	1602.7	4800	0.792	4609.511742559425
74	1647.6	5100	0.8	4650.585886771201
75	1652.9	4800	0.794	4623.174997259733
76	1614.5	5400	0.784	4553.923673364581
77	1625.2	4800	0.79	4597.875347115727
78	1599.6	4500	0.796	4617.199041469172
79	1609.0	5100	0.786	4541.507604254049
80	1618.2	5100	0.802	4637.19013438187
81	1628.1	5100	0.79	4569.49147271994
82	1602.6	4800	0.794	4590.516444194665
83	1659.3	4800	0.796	4629.9112091052375
84	1606.6	4800	0.782	4571.531137582209
85	1577.3	4500	0.79	4600.623959142161
86	1649.6	4800	0.8	4619.976677684155
87	1557.0	4800	0.786	4643.172816626819
88	1630.1	4800	0.794	4602.039574970242
89	1646.7	4800	0.81	4630.840412489396
90	1556.7	4800	0.778	4584.6888527231295
91	1642.9	5100	0.8	4652.868740604518
92	1603.4	4800	0.796	4664.706045039153
93	1605.6	4800	0.79	4583.449552645015
94	1581.8	4200	0.788	4696.710215530811
95	1603.9	5100	0.788	4561.110826021222
96	1625.3	4200	0.804	4675.2510694609655
97	1588.7	4800	0.782	4604.1014161684925
98	1595.3	4800	0.784	4579.385761463279
99	1540.2	4500	0.774	4556.851335377992
100	1522.9	4800	0.764	4556.92676469014
