Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	12:45:44	12:45:44	12:45:44			12:45:44	12:45:44	12:45:44	12:45:44	12:45:44	12:45:48	12:45:48	12:45:48	12:45:48	12:45:48	12:45:48			12:45:50	12:45:50		00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:01	00:00:06
1	12:45:50	12:45:50	12:45:50	12:45:50	12:45:50	12:45:50	12:45:50	12:45:51	12:45:51	12:45:51	12:45:53	12:45:53	12:45:53	12:45:53	12:45:53	12:45:53			12:45:55	12:45:55		00:00:00	00:00:00	00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:04
2	12:45:55	12:45:55	12:45:55	12:45:55	12:45:55	12:45:55			12:45:55	12:45:55	12:45:58	12:45:58	12:45:58	12:45:58	12:45:58	12:45:58			12:45:59	12:45:59		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:03
3	12:45:59	12:45:59	12:45:59	12:45:59	12:45:59	12:45:59			12:45:59	12:45:59	12:46:01	12:46:01	12:46:01	12:46:01	12:46:01	12:46:01			12:46:02	12:46:02		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:03
4	12:46:02	12:46:02	12:46:02	12:46:02	12:46:02	12:46:02			12:46:02	12:46:02	12:46:04	12:46:04	12:46:04	12:46:04	12:46:04	12:46:04			12:46:05	12:46:05		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
5	12:46:05	12:46:05	12:46:05	12:46:05	12:46:06	12:46:06			12:46:06	12:46:06	12:46:07	12:46:07	12:46:07	12:46:07	12:46:07	12:46:07			12:46:08	12:46:08		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
6	12:46:08	12:46:08	12:46:08	12:46:08	12:46:08	12:46:08			12:46:08	12:46:08	12:46:10	12:46:10	12:46:10	12:46:10	12:46:10	12:46:10			12:46:11	12:46:11		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
7	12:46:11	12:46:11	12:46:11	12:46:11	12:46:11	12:46:11			12:46:11	12:46:11	12:46:13	12:46:13	12:46:13	12:46:13	12:46:13	12:46:13			12:46:14	12:46:14		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
8	12:46:14	12:46:14	12:46:14	12:46:14	12:46:14	12:46:14			12:46:14	12:46:14	12:46:15	12:46:15	12:46:15	12:46:15	12:46:15	12:46:15			12:46:16	12:46:16		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
9	12:46:16	12:46:16	12:46:16	12:46:16	12:46:17	12:46:17			12:46:17	12:46:17	12:46:18	12:46:18	12:46:18	12:46:18	12:46:18	12:46:18			12:46:19	12:46:19		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
