Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	16:00:38	16:00:38	16:00:38			16:00:38	16:00:38	16:00:38	16:00:38	16:00:38	16:00:52	16:00:52	16:00:52	16:00:52	16:00:52	16:00:52			16:00:54	16:00:54		00:00:00		00:00:00	00:00:00	00:00:14	00:00:00	00:00:00		00:00:01	00:00:15
1	16:00:54	16:00:54	16:00:54	16:00:54	16:00:54	16:00:54	16:00:54	16:00:54	16:00:54	16:00:54	16:01:07	16:01:07	16:01:07	16:01:07	16:01:07	16:01:07			16:01:08	16:01:08		00:00:00	00:00:00	00:00:00	00:00:00	00:00:12	00:00:00	00:00:00		00:00:01	00:00:14
2	16:01:09	16:01:09	16:01:09	16:01:09	16:01:09	16:01:09			16:01:09	16:01:09	16:01:21	16:01:21	16:01:21	16:01:21	16:01:21	16:01:21			16:01:22	16:01:22		00:00:00	00:00:00		00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:13
3	16:01:22	16:01:22	16:01:22	16:01:22	16:01:22	16:01:22			16:01:22	16:01:22	16:01:34	16:01:34	16:01:34	16:01:34	16:01:34	16:01:34			16:01:35	16:01:35		00:00:00	00:00:00		00:00:00	00:00:12	00:00:00	00:00:00		00:00:01	00:00:13
4	16:01:35	16:01:35	16:01:35	16:01:35	16:01:35	16:01:35			16:01:35	16:01:35	16:01:47	16:01:47	16:01:47	16:01:47	16:01:47	16:01:47			16:01:48	16:01:48		00:00:00	00:00:00		00:00:00	00:00:11	00:00:00	00:00:00		00:00:01	00:00:12
5	16:01:48	16:01:48	16:01:48	16:01:48	16:01:49	16:01:49			16:01:49	16:01:49	16:02:01	16:02:01	16:02:01	16:02:01	16:02:01	16:02:01			16:02:02	16:02:02		00:00:00	00:00:00		00:00:00	00:00:12	00:00:00	00:00:00		00:00:00	00:00:13
6	16:02:02	16:02:02	16:02:02	16:02:02	16:02:02	16:02:02			16:02:02	16:02:02	16:02:13	16:02:13	16:02:13	16:02:13	16:02:13	16:02:13			16:02:14	16:02:14		00:00:00	00:00:00		00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:12
7	16:02:14	16:02:14	16:02:14	16:02:14	16:02:14	16:02:14			16:02:14	16:02:14	16:02:26	16:02:26	16:02:26	16:02:26	16:02:26	16:02:26			16:02:27	16:02:27		00:00:00	00:00:00		00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:12
8	16:02:27	16:02:27	16:02:27	16:02:27	16:02:27	16:02:27			16:02:27	16:02:27	16:02:38	16:02:38	16:02:38	16:02:38	16:02:38	16:02:38			16:02:39	16:02:39		00:00:00	00:00:00		00:00:00	00:00:10	00:00:00	00:00:00		00:00:01	00:00:12
9	16:02:39	16:02:39	16:02:39	16:02:39	16:02:39	16:02:39			16:02:39	16:02:39	16:02:51	16:02:51	16:02:51	16:02:51	16:02:51	16:02:51			16:02:52	16:02:52		00:00:00	00:00:00		00:00:00	00:00:11	00:00:00	00:00:00		00:00:01	00:00:12
