Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	15:17:58	15:17:58	15:17:58			15:17:58	15:17:58	15:17:58	15:17:58	15:17:58	15:18:02	15:18:02	15:18:02	15:18:02	15:18:02	15:18:02			15:18:03	15:18:03		00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:01	00:00:05
1	15:18:04	15:18:04	15:18:04	15:18:04	15:18:04	15:18:04	15:18:04	15:18:04	15:18:04	15:18:04	15:18:07	15:18:07	15:18:07	15:18:07	15:18:07	15:18:07			15:18:08	15:18:08		00:00:00	00:00:00	00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:04
2	15:18:09	15:18:09	15:18:09	15:18:09	15:18:09	15:18:09			15:18:09	15:18:09	15:18:11	15:18:11	15:18:11	15:18:11	15:18:11	15:18:11			15:18:12	15:18:12		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:03
3	15:18:12	15:18:12	15:18:12	15:18:12	15:18:12	15:18:12			15:18:12	15:18:12	15:18:15	15:18:15	15:18:15	15:18:15	15:18:15	15:18:15			15:18:16	15:18:16		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:03
4	15:18:16	15:18:16	15:18:16	15:18:16	15:18:16	15:18:16			15:18:16	15:18:16	15:18:18	15:18:18	15:18:18	15:18:18	15:18:18	15:18:18			15:18:19	15:18:19		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:03
5	15:18:20	15:18:20	15:18:20	15:18:20	15:18:20	15:18:20			15:18:20	15:18:20	15:18:22	15:18:22	15:18:22	15:18:22	15:18:22	15:18:22			15:18:23	15:18:23		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
6	15:18:23	15:18:23	15:18:23	15:18:23	15:18:23	15:18:23			15:18:23	15:18:23	15:18:25	15:18:25	15:18:25	15:18:25	15:18:25	15:18:25			15:18:26	15:18:26		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:03
7	15:18:27	15:18:27	15:18:27	15:18:27	15:18:27	15:18:27			15:18:27	15:18:27	15:18:29	15:18:29	15:18:29	15:18:29	15:18:29	15:18:29			15:18:30	15:18:30		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:03
8	15:18:30	15:18:30	15:18:30	15:18:30	15:18:30	15:18:30			15:18:30	15:18:30	15:18:32	15:18:32	15:18:32	15:18:32	15:18:32	15:18:32			15:18:33	15:18:33		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:03
9	15:18:33	15:18:33	15:18:33	15:18:33	15:18:33	15:18:33			15:18:33	15:18:33	15:18:35	15:18:35	15:18:35	15:18:35	15:18:35	15:18:35			15:18:36	15:18:36		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
10	15:18:36	15:18:36	15:18:36	15:18:36	15:18:36	15:18:36	15:18:36	15:18:36	15:18:36	15:18:36	15:18:39	15:18:39	15:18:39	15:18:39	15:18:39	15:18:39	15:18:39	15:18:39	15:18:40	15:18:40		00:00:00	00:00:00	00:00:00	00:00:00	00:00:02	00:00:00	00:00:00	00:00:00	00:00:01	00:00:04
11	15:18:41	15:18:41	15:18:41	15:18:41	15:18:41	15:18:41			15:18:41	15:18:41	15:18:43	15:18:43	15:18:43	15:18:43	15:18:43	15:18:43			15:18:44	15:18:44		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:03
12	15:18:44	15:18:44	15:18:44	15:18:44	15:18:44	15:18:44			15:18:44	15:18:44	15:18:46	15:18:46	15:18:46	15:18:46	15:18:46	15:18:46			15:18:47	15:18:47		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
13	15:18:47	15:18:47	15:18:47	15:18:47	15:18:47	15:18:47			15:18:47	15:18:47	15:18:48	15:18:48	15:18:48	15:18:48	15:18:49	15:18:49			15:18:49	15:18:49		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
14	15:18:50	15:18:50	15:18:50	15:18:50	15:18:50	15:18:50			15:18:50	15:18:50	15:18:51	15:18:51	15:18:51	15:18:51	15:18:51	15:18:51			15:18:52	15:18:52		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
15	15:18:52	15:18:52	15:18:52	15:18:52	15:18:53	15:18:53			15:18:53	15:18:53	15:18:54	15:18:54	15:18:54	15:18:54	15:18:54	15:18:54			15:18:55	15:18:55		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
16	15:18:55	15:18:55	15:18:55	15:18:55	15:18:55	15:18:55			15:18:55	15:18:55	15:18:57	15:18:57	15:18:57	15:18:57	15:18:57	15:18:57			15:18:58	15:18:58		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
17	15:18:58	15:18:58	15:18:58	15:18:58	15:18:58	15:18:58			15:18:58	15:18:58	15:18:59	15:18:59	15:18:59	15:18:59	15:18:59	15:18:59			15:19:00	15:19:00		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
18	15:19:01	15:19:01	15:19:01	15:19:01	15:19:01	15:19:01			15:19:01	15:19:01	15:19:02	15:19:02	15:19:02	15:19:02	15:19:02	15:19:02			15:19:03	15:19:03		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
19	15:19:03	15:19:03	15:19:03	15:19:03	15:19:03	15:19:03			15:19:03	15:19:03	15:19:05	15:19:05	15:19:05	15:19:05	15:19:05	15:19:05			15:19:05	15:19:05		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
20	15:19:06	15:19:06	15:19:06	15:19:06	15:19:06	15:19:06	15:19:06	15:19:06	15:19:06	15:19:06	15:19:07	15:19:07	15:19:07	15:19:07	15:19:07	15:19:07	15:19:07	15:19:07	15:19:09	15:19:09		00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00	00:00:00	00:00:01	00:00:03
21	15:19:09	15:19:09	15:19:09	15:19:09	15:19:09	15:19:09			15:19:09	15:19:09	15:19:11	15:19:11	15:19:11	15:19:11	15:19:11	15:19:11			15:19:12	15:19:12		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
22	15:19:12	15:19:12	15:19:12	15:19:12	15:19:12	15:19:12			15:19:12	15:19:12	15:19:13	15:19:13	15:19:13	15:19:13	15:19:13	15:19:13			15:19:14	15:19:14		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:01
23	15:19:14	15:19:14	15:19:14	15:19:14	15:19:14	15:19:14			15:19:14	15:19:14	15:19:15	15:19:15	15:19:15	15:19:15	15:19:15	15:19:15			15:19:16	15:19:16		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
24	15:19:16	15:19:16	15:19:16	15:19:16	15:19:16	15:19:16			15:19:16	15:19:16	15:19:18	15:19:18	15:19:18	15:19:18	15:19:18	15:19:18			15:19:19	15:19:19		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
25	15:19:19	15:19:19	15:19:19	15:19:19	15:19:19	15:19:19			15:19:19	15:19:19	15:19:20	15:19:20	15:19:20	15:19:20	15:19:20	15:19:20			15:19:21	15:19:21		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
26	15:19:21	15:19:21	15:19:21	15:19:21	15:19:21	15:19:21			15:19:21	15:19:21	15:19:22	15:19:22	15:19:22	15:19:22	15:19:22	15:19:22			15:19:23	15:19:23		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
