Iteration	car	pt	walk
0	1.0	0.0	0.0
1	0.948	0.052	0.0
2	0.912	0.088	0.0
3	0.896	0.104	0.0
4	0.862	0.138	0.0
5	0.836	0.164	0.0
6	0.81	0.19	0.0
7	0.802	0.198	0.0
8	0.774	0.226	0.0
9	0.742	0.258	0.0
10	0.742	0.258	0.0
11	0.708	0.292	0.0
12	0.69	0.31	0.0
13	0.682	0.318	0.0
14	0.684	0.316	0.0
15	0.67	0.33	0.0
16	0.664	0.336	0.0
17	0.66	0.34	0.0
18	0.644	0.356	0.0
19	0.634	0.366	0.0
20	0.632	0.368	0.0
21	0.62	0.38	0.0
22	0.616	0.384	0.0
23	0.608	0.392	0.0
24	0.604	0.396	0.0
25	0.612	0.388	0.0
26	0.61	0.39	0.0
27	0.598	0.402	0.0
28	0.598	0.402	0.0
29	0.606	0.394	0.0
30	0.596	0.404	0.0
31	0.622	0.378	0.0
32	0.612	0.388	0.0
33	0.614	0.386	0.0
34	0.614	0.386	0.0
35	0.62	0.38	0.0
36	0.618	0.382	0.0
37	0.644	0.356	0.0
38	0.648	0.352	0.0
39	0.652	0.348	0.0
40	0.652	0.348	0.0
41	0.664	0.336	0.0
42	0.664	0.336	0.0
43	0.664	0.336	0.0
44	0.656	0.344	0.0
45	0.672	0.328	0.0
46	0.674	0.326	0.0
47	0.68	0.32	0.0
48	0.69	0.31	0.0
49	0.708	0.292	0.0
50	0.698	0.302	0.0
51	0.7	0.3	0.0
52	0.706	0.294	0.0
53	0.72	0.28	0.0
54	0.72	0.28	0.0
55	0.726	0.274	0.0
56	0.718	0.282	0.0
57	0.734	0.266	0.0
58	0.732	0.268	0.0
59	0.748	0.252	0.0
60	0.728	0.272	0.0
61	0.732	0.268	0.0
62	0.726	0.274	0.0
63	0.748	0.252	0.0
64	0.756	0.244	0.0
65	0.772	0.228	0.0
66	0.784	0.216	0.0
67	0.774	0.226	0.0
68	0.782	0.218	0.0
69	0.77	0.23	0.0
70	0.772	0.228	0.0
71	0.77	0.23	0.0
72	0.782	0.218	0.0
73	0.78	0.22	0.0
74	0.784	0.216	0.0
75	0.772	0.228	0.0
76	0.768	0.232	0.0
77	0.774	0.226	0.0
78	0.786	0.214	0.0
79	0.798	0.202	0.0
80	0.802	0.198	0.0
81	0.806	0.194	0.0
82	0.806	0.194	0.0
83	0.794	0.206	0.0
84	0.8	0.2	0.0
85	0.796	0.204	0.0
86	0.806	0.194	0.0
87	0.818	0.182	0.0
88	0.8	0.2	0.0
89	0.806	0.194	0.0
90	0.808	0.192	0.0
91	0.826	0.174	0.0
92	0.832	0.168	0.0
93	0.824	0.176	0.0
94	0.796	0.204	0.0
95	0.836	0.164	0.0
96	0.86	0.14	0.0
97	0.848	0.152	0.0
98	0.836	0.164	0.0
99	0.852	0.148	0.0
100	0.846	0.154	0.0
