ITERATION	AvgTripDuration	EvacuationEndSeconds	CarRatio	AvgTravelDistance
0	6521.3	14100	1.0	3697.0105883426195
1	5516.4	13500	0.948	3588.7803119686328
2	4975.4	13200	0.912	3521.6262064299526
3	4690.6	12900	0.896	3478.42349146535
4	4210.8	12600	0.862	3413.474326821907
5	3926.2	12000	0.838	3365.689308962283
6	3567.4	11700	0.81	3316.4468437727282
7	3463.0	11400	0.802	3303.639444860807
8	3149.0	11100	0.774	3251.4243662972144
9	2906.9	10800	0.742	3189.7013089144325
10	2902.4	10800	0.742	3204.052468269872
11	2611.9	9900	0.712	3164.9276032669886
12	2453.1	9900	0.69	3118.9356080071766
13	2314.4	9300	0.682	3126.224142122037
14	2228.8	9000	0.684	3161.3237991301
15	2119.1	8700	0.672	3144.899449913516
16	2057.7	8400	0.664	3144.831595925699
17	1975.7	8400	0.656	3136.3266453097103
18	1882.6	7800	0.644	3140.6419391909317
19	1834.7	7800	0.632	3132.644870549482
20	1835.8	7500	0.626	3145.099862726391
21	1739.5	6900	0.622	3173.134222909584
22	1663.3	6900	0.616	3172.0869192764185
23	1657.9	6600	0.61	3168.9254663687852
24	1609.3	6600	0.606	3181.995111987706
25	1580.1	6300	0.614	3210.8805657280905
26	1551.4	6300	0.61	3217.6931312197553
27	1527.5	6000	0.602	3222.167349383211
28	1485.1	5700	0.602	3244.856292387433
29	1496.1	5700	0.604	3264.0945761282615
30	1463.6	5400	0.598	3256.5126861153462
31	1499.1	5700	0.626	3358.3880167355333
32	1490.5	5400	0.616	3330.3424045592856
33	1489.5	5100	0.628	3374.8818338278966
34	1499.1	5100	0.632	3438.7454174499335
35	1481.0	4800	0.656	3509.25366406026
36	1514.5	5100	0.64	3496.12787094709
37	1576.1	5100	0.668	3597.021301717871
38	1572.4	5400	0.662	3605.423750212141
39	1493.4	5100	0.66	3589.7542584938296
40	1518.0	5100	0.668	3662.5262957221303
41	1567.2	5100	0.682	3700.6019460215666
42	1570.4	5100	0.696	3767.854645850794
43	1580.7	5100	0.682	3749.595803006624
44	1515.1	5100	0.674	3757.867527649656
45	1541.6	5100	0.688	3813.009404899577
46	1494.1	5100	0.69	3858.1185310787882
47	1573.1	5400	0.7	3892.9276621043796
48	1499.5	5100	0.7	3890.096173479564
49	1554.5	5400	0.712	3938.2597976082548
50	1504.5	5100	0.708	3920.201134111274
51	1561.1	5400	0.712	3959.0417431900983
52	1587.3	5400	0.722	3974.6567366054433
53	1585.7	5400	0.74	4041.3265079622233
54	1567.4	5100	0.73	4028.351433115955
55	1593.4	5100	0.732	4057.7416500263535
56	1648.7	5400	0.756	4121.791739413458
57	1666.7	5400	0.76	4196.146672266102
58	1618.4	5100	0.758	4184.457347836773
59	1643.2	5100	0.764	4222.634810539178
60	1645.2	5100	0.756	4179.665770970542
61	1613.3	5100	0.768	4277.773706998724
62	1611.8	4800	0.758	4213.617744606697
63	1681.8	5100	0.778	4310.602861884222
64	1656.1	5100	0.77	4301.496189045566
65	1681.9	5100	0.778	4306.418491224622
66	1664.3	5100	0.794	4434.488655141642
67	1684.8	5400	0.778	4345.127210908726
68	1673.6	5100	0.8	4410.457477331172
69	1699.7	5400	0.794	4402.846522302219
70	1688.5	5400	0.8	4400.108588223649
71	1680.3	5100	0.794	4360.3557846945
72	1649.6	5400	0.786	4377.673169503753
73	1674.2	5100	0.79	4386.274264805545
74	1739.1	5100	0.814	4498.384203645569
75	1662.6	5100	0.798	4480.623712051881
76	1656.8	5100	0.78	4375.885322882254
77	1680.9	5100	0.806	4462.130196110917
78	1739.2	5100	0.81	4469.756375360071
79	1692.3	5100	0.806	4484.604462345026
80	1702.1	5100	0.794	4450.722458929345
81	1676.2	5100	0.806	4487.852143441709
82	1618.9	4800	0.784	4420.686966734745
83	1627.1	4800	0.774	4372.805435388681
84	1628.4	4800	0.786	4415.537825463037
85	1595.3	4800	0.778	4447.921055378297
86	1607.8	4800	0.782	4468.630901677994
87	1624.2	5100	0.792	4461.252735785247
88	1611.4	4800	0.776	4397.341109278015
89	1641.4	5100	0.79	4456.404765111528
90	1640.5	4800	0.798	4499.508759338936
91	1703.6	5100	0.804	4468.806417245615
92	1640.2	4800	0.8	4478.857764270402
93	1687.8	4800	0.804	4524.146417900001
94	1618.2	5100	0.782	4477.380299072093
95	1631.4	5100	0.796	4493.457990948449
96	1641.3	4800	0.808	4539.480849825177
97	1639.4	5100	0.804	4515.719361124455
98	1616.3	4800	0.794	4512.385670695453
99	1607.7	4800	0.8	4524.122381180016
100	1586.1	5100	0.786	4509.375835359021
