Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	10:53:31	10:53:31	10:53:31			10:53:31	10:53:31	10:53:31	10:53:31	10:53:31	10:53:35	10:53:35	10:53:35	10:53:35	10:53:35	10:53:35			10:53:36	10:53:36		00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:01	00:00:04
1	10:53:36	10:53:36	10:53:36	10:53:36	10:53:37	10:53:37	10:53:37	10:53:37	10:53:37	10:53:37	10:53:40	10:53:40	10:53:40	10:53:40	10:53:40	10:53:40			10:53:41	10:53:41		00:00:00	00:00:00	00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:04
2	10:53:41	10:53:41	10:53:41	10:53:41	10:53:41	10:53:41			10:53:41	10:53:41	10:53:43	10:53:43	10:53:43	10:53:43	10:53:43	10:53:43			10:53:44	10:53:44		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:03
3	10:53:44	10:53:44	10:53:44	10:53:44	10:53:45	10:53:45			10:53:45	10:53:45	10:53:46	10:53:46	10:53:46	10:53:46	10:53:46	10:53:46			10:53:47	10:53:47		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
4	10:53:48	10:53:48	10:53:48	10:53:48	10:53:48	10:53:48			10:53:48	10:53:48	10:53:49	10:53:49	10:53:49	10:53:49	10:53:49	10:53:49			10:53:51	10:53:51		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
5	10:53:51	10:53:51	10:53:51	10:53:51	10:53:51	10:53:51			10:53:51	10:53:51	10:53:52	10:53:52	10:53:52	10:53:52	10:53:52	10:53:52			10:53:53	10:53:53		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
6	10:53:53	10:53:53	10:53:53	10:53:53	10:53:53	10:53:53			10:53:53	10:53:53	10:53:55	10:53:55	10:53:55	10:53:55	10:53:55	10:53:55			10:53:56	10:53:56		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
7	10:53:56	10:53:56	10:53:56	10:53:56	10:53:56	10:53:56			10:53:56	10:53:56	10:53:58	10:53:58	10:53:58	10:53:58	10:53:58	10:53:58			10:53:59	10:53:59		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
8	10:53:59	10:53:59	10:53:59	10:53:59	10:53:59	10:53:59			10:53:59	10:53:59	10:54:01	10:54:01	10:54:01	10:54:01	10:54:01	10:54:01			10:54:01	10:54:01		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
9	10:54:01	10:54:01	10:54:01	10:54:01	10:54:02	10:54:02			10:54:02	10:54:02	10:54:03	10:54:03	10:54:03	10:54:03	10:54:03	10:54:03			10:54:04	10:54:04		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
10	10:54:04	10:54:04	10:54:04	10:54:04	10:54:04	10:54:04	10:54:04	10:54:04	10:54:04	10:54:04	10:54:06	10:54:06	10:54:06	10:54:06	10:54:06	10:54:06	10:54:06	10:54:06	10:54:07	10:54:07		00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00	00:00:00	00:00:01	00:00:03
