ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	3697.0105883426195	
1	3636.9769463760463	
2	3581.808122986289	
3	3550.639033353145	
4	3485.219030921444	
5	3449.16118640997	
6	3404.510338625025	
7	3403.7740266406877	
8	3379.1922337822284	
9	3317.8499790694996	
10	3351.9931169345177	
11	3302.2837493862276	
12	3259.6622379463197	
13	3283.49020688979	
14	3303.1380696274878	
15	3293.1334039760127	
16	3304.862507065508	
17	3315.7394901908497	
18	3311.9837936536264	
19	3302.0044296480687	
20	3315.8602220709804	
21	3286.7751290590713	
22	3334.1329181654	
23	3302.8360605845255	
24	3312.2005519098743	
25	3361.004243414033	
26	3381.2886559916196	
27	3381.213330373768	
28	3369.236571011354	
29	3384.263783521944	
30	3401.929830025922	
31	3480.5286423537696	
32	3448.9731135948005	
33	3498.5141201455517	
34	3504.327125949001	
35	3539.823090492565	
36	3537.047763925836	
37	3594.7755376918426	
38	3675.249112946561	
39	3757.6312056566076	
40	3790.1017928215774	
41	3783.5569913969266	
42	3797.946868252593	
43	3778.0612525858687	
44	3779.0885540842114	
45	3870.621174490212	
46	3869.7910734326933	
47	3900.6990756209766	
48	3957.642077359226	
49	3984.789208690428	
50	3949.6982477397623	
51	3948.982443052031	
52	3977.2776278309243	
53	4069.8127271328976	
54	4025.962747910928	
55	4017.834175744155	
56	4088.032078918889	
57	4130.789054712939	
58	4116.660667408179	
59	4175.029527318849	
60	4143.893780158271	
61	4148.585318355499	
62	4169.942954822632	
63	4246.966705050358	
64	4275.661848780967	
65	4274.195468176145	
66	4323.588175752769	
67	4312.247043158845	
68	4373.912304221336	
69	4367.273308858072	
70	4366.382515315432	
71	4270.614859468061	
72	4330.648449936714	
73	4293.269163164736	
74	4373.640054749372	
75	4333.712070611692	
76	4336.314672708703	
77	4363.177864021319	
78	4362.242457005741	
79	4386.568436254698	
80	4397.275707623816	
81	4409.482884057165	
82	4452.630561788703	
83	4336.394472972546	
84	4433.813831685743	
85	4364.05416521329	
86	4438.597357317326	
87	4431.683284757844	
88	4373.673856088431	
89	4417.6589183275455	
90	4430.87186718467	
91	4502.604131480525	
92	4463.342192660049	
93	4511.79619320162	
94	4485.266617682589	
95	4494.657754411121	
96	4585.5132836838	
97	4484.8237237226995	
98	4474.011810836277	
99	4469.776303772831	
100	4446.603434659834	
