ITERATION	AvgTripDuration	EvacuationEndSeconds	CarRatio	AvgTravelDistance
0	6634.0	14100	1.0	3697.0105883426195
1	5055.3	12600	0.952	3703.782678354822
2	4258.4	12000	0.91	3707.7998194819734
3	3625.7	10800	0.886	3707.5463843903417
4	3135.0	10500	0.85	3712.525846060304
5	2667.3	9000	0.826	3749.8560079339586
6	2479.6	8700	0.806	3782.3657502630326
7	2357.2	8400	0.802	3835.647149473153
8	2129.1	7800	0.788	3877.4832460997095
9	1955.3	7500	0.746	3741.07500980332
10	1879.7	7200	0.758	3847.8184162059138
11	1780.2	6600	0.75	3904.1355909593535
12	1676.9	6300	0.744	3906.0487070781164
13	1728.6	6300	0.728	3888.6374368631505
14	1681.7	6000	0.742	3998.9711759066995
15	1654.0	5700	0.736	3956.713349795911
16	1672.4	5400	0.726	4009.245000107228
17	1548.8	5700	0.71	3885.0421043064625
18	1536.1	5400	0.706	3890.855093887629
19	1538.8	4800	0.724	3995.2000528673007
20	1462.3	4800	0.694	3907.9371071264063
21	1538.6	5400	0.704	3933.9360502972604
22	1394.4	4500	0.68	3858.763490095266
23	1380.8	4500	0.672	3844.0073148127503
24	1402.6	4800	0.678	3899.6648610326006
25	1477.7	5400	0.706	4102.917542568355
26	1460.3	4800	0.682	3976.836152636075
27	1472.1	4800	0.7	4147.173028777498
28	1484.5	5100	0.692	3965.19483733849
29	1510.1	4800	0.714	4087.201939873582
30	1448.2	4800	0.694	4047.4390570866094
31	1512.2	4800	0.716	4142.778104297169
32	1428.8	4800	0.712	4055.078290869888
33	1453.2	5100	0.704	4135.470907139638
34	1472.3	5700	0.706	4063.970116207887
35	1449.2	4500	0.708	4173.540689797814
36	1444.9	4800	0.694	4101.462479005177
37	1434.9	4800	0.708	4124.773547374345
38	1466.2	5100	0.72	4173.09916574494
39	1467.8	5100	0.716	4157.1799289105375
40	1493.6	4800	0.718	4212.385170319845
41	1454.0	4500	0.716	4234.628427464366
42	1458.0	4500	0.71	4185.420739242931
43	1415.1	4500	0.704	4171.453807920321
44	1414.8	4500	0.702	4195.431834730616
45	1433.1	5100	0.714	4264.240843148396
46	1451.9	4500	0.724	4258.506785987466
47	1434.2	4500	0.71	4258.956161931509
48	1340.6	4200	0.694	4144.0292242444975
49	1444.7	4800	0.708	4282.142733331234
50	1412.9	4500	0.716	4248.527764849023
51	1402.2	4800	0.704	4223.923492826023
52	1467.3	4200	0.744	4309.268843349596
53	1465.5	4800	0.724	4274.364625708646
54	1464.2	4500	0.732	4351.281791300802
55	1396.1	4800	0.716	4229.2219280859545
56	1439.0	4500	0.738	4326.223278389829
57	1446.0	4500	0.708	4211.124829029065
58	1469.7	4800	0.728	4321.098547526007
59	1473.6	4500	0.75	4412.098867433493
60	1447.3	4500	0.734	4386.418699291989
61	1416.7	4500	0.708	4289.98920198006
62	1443.9	5100	0.726	4297.5763527757545
63	1414.2	4200	0.706	4270.40166005029
64	1458.8	4500	0.74	4355.248398276636
65	1454.7	4800	0.744	4395.648885591816
66	1393.7	4500	0.716	4233.925836800067
67	1378.4	4500	0.704	4206.386620828971
68	1386.1	4800	0.718	4364.1489150973375
69	1391.9	4500	0.7	4194.985451298122
70	1478.3	5400	0.734	4338.028081134053
71	1379.0	4200	0.728	4392.227721670214
72	1395.0	4800	0.712	4254.595463652749
73	1376.4	4800	0.708	4268.725501976323
74	1424.4	4800	0.728	4345.858843460378
75	1416.8	4500	0.72	4321.589094235322
76	1424.9	5100	0.72	4300.927775981175
77	1479.2	4800	0.734	4363.166412726745
78	1446.0	4200	0.756	4451.6205113583
79	1477.9	4800	0.742	4423.088045677181
80	1493.0	4500	0.762	4448.054222224883
81	1479.5	4500	0.75	4413.795239451268
82	1447.7	4800	0.75	4432.938700968052
83	1457.6	4200	0.74	4376.952890154711
84	1484.7	4800	0.742	4413.384946573905
85	1497.5	4500	0.754	4507.222405492862
86	1378.7	4500	0.736	4405.861549946143
87	1458.6	4500	0.728	4328.308961600638
88	1475.8	4500	0.768	4497.8311472429905
89	1496.2	4800	0.762	4397.586269604396
90	1449.5	4500	0.736	4370.469762237649
91	1492.8	4500	0.76	4436.615009990424
92	1487.9	4800	0.76	4525.522808020965
93	1432.1	5100	0.746	4400.54793310043
94	1455.0	5100	0.738	4414.940020667869
95	1471.1	4800	0.75	4431.005435025711
96	1467.1	4500	0.762	4469.143010132517
97	1448.1	4800	0.738	4410.758911657068
98	1475.7	4200	0.752	4377.395678213849
99	1371.8	4200	0.73	4359.013040859657
100	1416.0	5100	0.726	4327.476783256869
