Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	14:59:55	14:59:55	14:59:55			14:59:55	14:59:55	14:59:55	14:59:55	14:59:55	14:59:59	14:59:59	14:59:59	14:59:59	14:59:59	14:59:59			15:00:00	15:00:00		00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:01	00:00:05
1	15:00:01	15:00:01	15:00:01	15:00:01	15:00:01	15:00:01	15:00:01	15:00:01	15:00:01	15:00:01	15:00:05	15:00:05	15:00:05	15:00:05	15:00:05	15:00:05			15:00:07	15:00:07		00:00:00	00:00:00	00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:01	00:00:05
2	15:00:07	15:00:07	15:00:07	15:00:07	15:00:07	15:00:07			15:00:07	15:00:07	15:00:10	15:00:10	15:00:10	15:00:10	15:00:10	15:00:10			15:00:11	15:00:11		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:03
3	15:00:11	15:00:11	15:00:11	15:00:11	15:00:11	15:00:11			15:00:11	15:00:11	15:00:14	15:00:14	15:00:14	15:00:14	15:00:14	15:00:14			15:00:15	15:00:15		00:00:00	00:00:00		00:00:00	00:00:03	00:00:00	00:00:00		00:00:01	00:00:04
4	15:00:15	15:00:15	15:00:15	15:00:15	15:00:15	15:00:15			15:00:15	15:00:15	15:00:18	15:00:18	15:00:18	15:00:18	15:00:18	15:00:18			15:00:19	15:00:19		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:03
5	15:00:19	15:00:19	15:00:19	15:00:19	15:00:19	15:00:19			15:00:19	15:00:19	15:00:22	15:00:22	15:00:22	15:00:22	15:00:22	15:00:22			15:00:23	15:00:23		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:03
6	15:00:23	15:00:23	15:00:23	15:00:23	15:00:23	15:00:23			15:00:23	15:00:23	15:00:25	15:00:25	15:00:25	15:00:25	15:00:25	15:00:25			15:00:26	15:00:26		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:03
7	15:00:27	15:00:27	15:00:27	15:00:27	15:00:27	15:00:27			15:00:27	15:00:27	15:00:29	15:00:29	15:00:29	15:00:29	15:00:29	15:00:29			15:00:30	15:00:30		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
8	15:00:30	15:00:30	15:00:30	15:00:30	15:00:30	15:00:30			15:00:30	15:00:30	15:00:32	15:00:32	15:00:32	15:00:32	15:00:32	15:00:32			15:00:33	15:00:33		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:03
9	15:00:34	15:00:34	15:00:34	15:00:34	15:00:34	15:00:34			15:00:34	15:00:34	15:00:36	15:00:36	15:00:36	15:00:36	15:00:36	15:00:36			15:00:37	15:00:37		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:03
10	15:00:37	15:00:37	15:00:37	15:00:37	15:00:37	15:00:37	15:00:37	15:00:37	15:00:37	15:00:37	15:00:39	15:00:39	15:00:39	15:00:39	15:00:39	15:00:39	15:00:39	15:00:39	15:00:41	15:00:41		00:00:00	00:00:00	00:00:00	00:00:00	00:00:02	00:00:00	00:00:00	00:00:00	00:00:01	00:00:04
11	15:00:41	15:00:41	15:00:41	15:00:41	15:00:41	15:00:41			15:00:41	15:00:41	15:00:43	15:00:43	15:00:43	15:00:43	15:00:43	15:00:43			15:00:44	15:00:44		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
12	15:00:44	15:00:44	15:00:44	15:00:44	15:00:44	15:00:44			15:00:44	15:00:44	15:00:46	15:00:46	15:00:46	15:00:46	15:00:46	15:00:46			15:00:47	15:00:47		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
