Iteration	car	pt	walk
0	1.0	0.0	0.0
1	0.948	0.052	0.0
2	0.912	0.088	0.0
3	0.906	0.094	0.0
4	0.878	0.122	0.0
5	0.854	0.146	0.0
6	0.832	0.168	0.0
7	0.83	0.17	0.0
8	0.81	0.19	0.0
9	0.784	0.216	0.0
10	0.796	0.204	0.0
11	0.762	0.238	0.0
12	0.748	0.252	0.0
13	0.738	0.262	0.0
14	0.748	0.252	0.0
15	0.732	0.268	0.0
16	0.732	0.268	0.0
17	0.73	0.27	0.0
18	0.724	0.276	0.0
19	0.722	0.278	0.0
20	0.716	0.284	0.0
21	0.71	0.29	0.0
22	0.702	0.298	0.0
23	0.712	0.288	0.0
24	0.708	0.292	0.0
25	0.716	0.284	0.0
26	0.712	0.288	0.0
27	0.712	0.288	0.0
28	0.712	0.288	0.0
29	0.718	0.282	0.0
30	0.718	0.282	0.0
31	0.744	0.256	0.0
32	0.74	0.26	0.0
33	0.74	0.26	0.0
34	0.758	0.242	0.0
35	0.762	0.238	0.0
36	0.754	0.246	0.0
37	0.77	0.23	0.0
38	0.764	0.236	0.0
39	0.764	0.236	0.0
40	0.76	0.24	0.0
41	0.776	0.224	0.0
42	0.78	0.22	0.0
43	0.766	0.234	0.0
44	0.762	0.238	0.0
45	0.774	0.226	0.0
46	0.776	0.224	0.0
47	0.782	0.218	0.0
48	0.79	0.21	0.0
49	0.8	0.2	0.0
50	0.8	0.2	0.0
51	0.802	0.198	0.0
52	0.808	0.192	0.0
53	0.808	0.192	0.0
54	0.806	0.194	0.0
55	0.8	0.2	0.0
56	0.812	0.188	0.0
57	0.828	0.172	0.0
58	0.82	0.18	0.0
59	0.828	0.172	0.0
60	0.822	0.178	0.0
61	0.822	0.178	0.0
62	0.818	0.182	0.0
63	0.844	0.156	0.0
64	0.832	0.168	0.0
65	0.836	0.164	0.0
66	0.844	0.156	0.0
67	0.828	0.172	0.0
68	0.842	0.158	0.0
69	0.828	0.172	0.0
70	0.846	0.154	0.0
71	0.84	0.16	0.0
72	0.836	0.164	0.0
73	0.848	0.152	0.0
74	0.864	0.136	0.0
75	0.862	0.138	0.0
76	0.846	0.154	0.0
77	0.85	0.15	0.0
78	0.848	0.152	0.0
79	0.854	0.146	0.0
80	0.852	0.148	0.0
81	0.866	0.134	0.0
82	0.856	0.144	0.0
83	0.85	0.15	0.0
84	0.86	0.14	0.0
85	0.848	0.152	0.0
86	0.858	0.142	0.0
87	0.866	0.134	0.0
88	0.854	0.146	0.0
89	0.864	0.136	0.0
90	0.87	0.13	0.0
91	0.872	0.128	0.0
92	0.87	0.13	0.0
93	0.868	0.132	0.0
94	0.856	0.144	0.0
95	0.872	0.128	0.0
96	0.884	0.116	0.0
97	0.878	0.122	0.0
98	0.866	0.134	0.0
99	0.878	0.122	0.0
100	0.874	0.126	0.0
