Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
19	10:49:51	10:49:51	10:49:51	10:49:51	10:49:52	10:49:52			10:49:52	10:49:52	10:49:53	10:49:53	10:49:53	10:49:53	10:49:53	10:49:53			10:49:54	10:49:54		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
20	10:49:54	10:49:54	10:49:54	10:49:54	10:49:54	10:49:54	10:49:54	10:49:54	10:49:54	10:49:54	10:49:56	10:49:56	10:49:56	10:49:56	10:49:56	10:49:56	10:49:56	10:49:56	10:49:57	10:49:57		00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00	00:00:00	00:00:01	00:00:03
21	10:49:58	10:49:58	10:49:58	10:49:58	10:49:58	10:49:58			10:49:58	10:49:58	10:49:59	10:49:59	10:49:59	10:49:59	10:49:59	10:49:59			10:50:00	10:50:00		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
22	10:50:00	10:50:00	10:50:00	10:50:00	10:50:00	10:50:00			10:50:00	10:50:00	10:50:01	10:50:01	10:50:01	10:50:01	10:50:01	10:50:01			10:50:02	10:50:02		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
23	10:50:03	10:50:03	10:50:03	10:50:03	10:50:03	10:50:03			10:50:03	10:50:03	10:50:04	10:50:04	10:50:04	10:50:04	10:50:04	10:50:04			10:50:05	10:50:05		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
24	10:50:05	10:50:05	10:50:05	10:50:05	10:50:05	10:50:05			10:50:05	10:50:05	10:50:07	10:50:07	10:50:07	10:50:07	10:50:07	10:50:07			10:50:08	10:50:08		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
25	10:50:08	10:50:08	10:50:08	10:50:08	10:50:08	10:50:08			10:50:08	10:50:08	10:50:09	10:50:09	10:50:09	10:50:09	10:50:09	10:50:09			10:50:10	10:50:10		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
26	10:50:10	10:50:10	10:50:10	10:50:10	10:50:11	10:50:11			10:50:11	10:50:11	10:50:12	10:50:12	10:50:12	10:50:12	10:50:12	10:50:12			10:50:13	10:50:13		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
27	10:50:13	10:50:13	10:50:13	10:50:13	10:50:13	10:50:13			10:50:13	10:50:13	10:50:15	10:50:15	10:50:15	10:50:15	10:50:15	10:50:15			10:50:16	10:50:16		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
28	10:50:16	10:50:16	10:50:16	10:50:16	10:50:16	10:50:16			10:50:16	10:50:16	10:50:17	10:50:17	10:50:17	10:50:17	10:50:17	10:50:17			10:50:18	10:50:18		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
29	10:50:18	10:50:18	10:50:18	10:50:18	10:50:19	10:50:19			10:50:19	10:50:19	10:50:20	10:50:20	10:50:20	10:50:20	10:50:20	10:50:20			10:50:21	10:50:21		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
