Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	17:07:41	17:07:41	17:07:41			17:07:41	17:07:41	17:07:42	17:07:42	17:07:42	17:07:59	17:07:59	17:07:59	17:07:59	17:07:59	17:07:59			17:08:01	17:08:01		00:00:00		00:00:00	00:00:00	00:00:17	00:00:00	00:00:00		00:00:01	00:00:19
1	17:08:01	17:08:01	17:08:01	17:08:01	17:08:02	17:08:02	17:08:02	17:08:02	17:08:02	17:08:02	17:08:17	17:08:17	17:08:17	17:08:17	17:08:17	17:08:17			17:08:19	17:08:19		00:00:00	00:00:00	00:00:00	00:00:00	00:00:15	00:00:00	00:00:00		00:00:01	00:00:17
2	17:08:19	17:08:19	17:08:19	17:08:19	17:08:19	17:08:19			17:08:19	17:08:19	17:08:31	17:08:31	17:08:31	17:08:31	17:08:31	17:08:31			17:08:33	17:08:33		00:00:00	00:00:00		00:00:00	00:00:12	00:00:00	00:00:00		00:00:01	00:00:13
3	17:08:33	17:08:33	17:08:33	17:08:33	17:08:33	17:08:33			17:08:33	17:08:33	17:08:45	17:08:45	17:08:45	17:08:45	17:08:45	17:08:45			17:08:46	17:08:46		00:00:00	00:00:00		00:00:00	00:00:12	00:00:00	00:00:00		00:00:01	00:00:13
4	17:08:47	17:08:47	17:08:47	17:08:47	17:08:47	17:08:47			17:08:47	17:08:47	17:08:59	17:08:59	17:08:59	17:08:59	17:08:59	17:08:59			17:09:00	17:09:00		00:00:00	00:00:00		00:00:00	00:00:12	00:00:00	00:00:00		00:00:00	00:00:13
5	17:09:00	17:09:00	17:09:00	17:09:00	17:09:00	17:09:00			17:09:00	17:09:00	17:09:13	17:09:13	17:09:13	17:09:13	17:09:13	17:09:13			17:09:14	17:09:14		00:00:00	00:00:00		00:00:00	00:00:12	00:00:00	00:00:00		00:00:01	00:00:13
6	17:09:14	17:09:14	17:09:14	17:09:14	17:09:14	17:09:14			17:09:14	17:09:14	17:09:26	17:09:26	17:09:26	17:09:26	17:09:26	17:09:26			17:09:27	17:09:27		00:00:00	00:00:00		00:00:00	00:00:12	00:00:00	00:00:00		00:00:00	00:00:13
7	17:09:27	17:09:27	17:09:27	17:09:27	17:09:27	17:09:27			17:09:27	17:09:27	17:09:40	17:09:40	17:09:40	17:09:40	17:09:40	17:09:40			17:09:40	17:09:40		00:00:00	00:00:00		00:00:00	00:00:12	00:00:00	00:00:00		00:00:00	00:00:13
8	17:09:41	17:09:41	17:09:41	17:09:41	17:09:41	17:09:41			17:09:41	17:09:41	17:09:53	17:09:53	17:09:53	17:09:53	17:09:53	17:09:53			17:09:54	17:09:54		00:00:00	00:00:00		00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:13
9	17:09:54	17:09:54	17:09:54	17:09:54	17:09:54	17:09:54			17:09:54	17:09:54	17:10:06	17:10:06	17:10:06	17:10:06	17:10:06	17:10:06			17:10:07	17:10:07		00:00:00	00:00:00		00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:12
10	17:10:07	17:10:07	17:10:07	17:10:07	17:10:07	17:10:07	17:10:07	17:10:07	17:10:07	17:10:07	17:10:19	17:10:19	17:10:19	17:10:19	17:10:19	17:10:19	17:10:19	17:10:19	17:10:21	17:10:21		00:00:00	00:00:00	00:00:00	00:00:00	00:00:11	00:00:00	00:00:00	00:00:00	00:00:01	00:00:13
11	17:10:21	17:10:21	17:10:21	17:10:21	17:10:21	17:10:21			17:10:21	17:10:21	17:10:33	17:10:33	17:10:33	17:10:33	17:10:33	17:10:33			17:10:33	17:10:33		00:00:00	00:00:00		00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:12
12	17:10:33	17:10:33	17:10:33	17:10:33	17:10:34	17:10:34			17:10:34	17:10:34	17:10:46	17:10:46	17:10:46	17:10:46	17:10:46	17:10:46			17:10:46	17:10:46		00:00:00	00:00:00		00:00:00	00:00:12	00:00:00	00:00:00		00:00:00	00:00:13
13	17:10:47	17:10:47	17:10:47	17:10:47	17:10:47	17:10:47			17:10:47	17:10:47	17:10:58	17:10:58	17:10:58	17:10:58	17:10:58	17:10:58			17:10:59	17:10:59		00:00:00	00:00:00		00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:12
14	17:10:59	17:10:59	17:10:59	17:10:59	17:10:59	17:10:59			17:10:59	17:10:59	17:11:12	17:11:12	17:11:12	17:11:12	17:11:12	17:11:12			17:11:13	17:11:13		00:00:00	00:00:00		00:00:00	00:00:12	00:00:00	00:00:00		00:00:00	00:00:13
15	17:11:13	17:11:13	17:11:13	17:11:13	17:11:13	17:11:13			17:11:13	17:11:13	17:11:24	17:11:24	17:11:24	17:11:24	17:11:24	17:11:24			17:11:25	17:11:25		00:00:00	00:00:00		00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:12
16	17:11:25	17:11:25	17:11:25	17:11:25	17:11:25	17:11:25			17:11:25	17:11:25	17:11:37	17:11:37	17:11:37	17:11:37	17:11:37	17:11:37			17:11:38	17:11:38		00:00:00	00:00:00		00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:12
17	17:11:38	17:11:38	17:11:38	17:11:38	17:11:38	17:11:38			17:11:38	17:11:38	17:11:50	17:11:50	17:11:50	17:11:50	17:11:50	17:11:50			17:11:51	17:11:51		00:00:00	00:00:00		00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:12
18	17:11:51	17:11:51	17:11:51	17:11:51	17:11:51	17:11:51			17:11:51	17:11:51	17:12:03	17:12:03	17:12:03	17:12:03	17:12:03	17:12:03			17:12:04	17:12:04		00:00:00	00:00:00		00:00:00	00:00:12	00:00:00	00:00:00		00:00:00	00:00:12
19	17:12:04	17:12:04	17:12:04	17:12:04	17:12:04	17:12:04			17:12:04	17:12:04	17:12:16	17:12:16	17:12:16	17:12:16	17:12:16	17:12:16			17:12:18	17:12:18		00:00:00	00:00:00		00:00:00	00:00:11	00:00:00	00:00:00		00:00:01	00:00:13
20	17:12:18	17:12:18	17:12:18	17:12:18	17:12:18	17:12:18	17:12:18	17:12:18	17:12:18	17:12:18	17:12:34	17:12:34	17:12:34	17:12:34	17:12:34	17:12:34	17:12:34	17:12:34	17:12:35	17:12:35		00:00:00	00:00:00	00:00:00	00:00:00	00:00:15	00:00:00	00:00:00	00:00:00	00:00:01	00:00:17
21	17:12:36	17:12:36	17:12:36	17:12:36	17:12:36	17:12:36			17:12:36	17:12:36	17:12:48	17:12:48	17:12:48	17:12:48	17:12:48	17:12:48			17:12:49	17:12:49		00:00:00	00:00:00		00:00:00	00:00:12	00:00:00	00:00:00		00:00:01	00:00:13
22	17:12:49	17:12:49	17:12:49	17:12:49	17:12:49	17:12:49			17:12:49	17:12:49	17:13:01	17:13:01	17:13:01	17:13:01	17:13:01	17:13:01			17:13:02	17:13:02		00:00:00	00:00:00		00:00:00	00:00:12	00:00:00	00:00:00		00:00:00	00:00:13
23	17:13:02	17:13:02	17:13:02	17:13:02	17:13:03	17:13:03			17:13:03	17:13:03	17:13:15	17:13:15	17:13:15	17:13:15	17:13:15	17:13:15			17:13:16	17:13:16		00:00:00	00:00:00		00:00:00	00:00:12	00:00:00	00:00:00		00:00:00	00:00:13
24	17:13:16	17:13:16	17:13:16	17:13:16	17:13:16	17:13:16			17:13:16	17:13:16	17:13:28	17:13:28	17:13:28	17:13:28	17:13:28	17:13:28			17:13:29	17:13:29		00:00:00	00:00:00		00:00:00	00:00:11	00:00:00	00:00:00		00:00:01	00:00:13
25	17:13:29	17:13:29	17:13:29	17:13:29	17:13:29	17:13:29			17:13:29	17:13:29	17:13:41	17:13:41	17:13:41	17:13:41	17:13:41	17:13:41			17:13:42	17:13:42		00:00:00	00:00:00		00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:12
26	17:13:42	17:13:42	17:13:42	17:13:42	17:13:42	17:13:42			17:13:42	17:13:42	17:13:54	17:13:54	17:13:54	17:13:54	17:13:54	17:13:54			17:13:55	17:13:55		00:00:00	00:00:00		00:00:00	00:00:12	00:00:00	00:00:00		00:00:00	00:00:13
27	17:13:55	17:13:55	17:13:55	17:13:55	17:13:56	17:13:56			17:13:56	17:13:56	17:14:07	17:14:07	17:14:07	17:14:07	17:14:07	17:14:07			17:14:08	17:14:08		00:00:00	00:00:00		00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:12
28	17:14:08	17:14:08	17:14:08	17:14:08	17:14:08	17:14:08			17:14:08	17:14:08	17:14:20	17:14:20	17:14:20	17:14:20	17:14:20	17:14:20			17:14:21	17:14:21		00:00:00	00:00:00		00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:13
