Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	20:28:11	20:28:11	20:28:11			20:28:11	20:28:11	20:28:11	20:28:11	20:28:11	20:28:24	20:28:24	20:28:24	20:28:24	20:28:24	20:28:24			20:28:25	20:28:25		00:00:00		00:00:00	00:00:00	00:00:12	00:00:00	00:00:00		00:00:00	00:00:13
1	20:28:25	20:28:25	20:28:25	20:28:25	20:28:25	20:28:25	20:28:25	20:28:25	20:28:25	20:28:25	20:28:37	20:28:37	20:28:38	20:28:38	20:28:38	20:28:38			20:28:38	20:28:38		00:00:00	00:00:00	00:00:00	00:00:00	00:00:12	00:00:00	00:00:00		00:00:00	00:00:13
2	20:28:39	20:28:39	20:28:39	20:28:39	20:28:39	20:28:39			20:28:39	20:28:39	20:28:50	20:28:50	20:28:50	20:28:50	20:28:50	20:28:50			20:28:51	20:28:51		00:00:00	00:00:00		00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:12
3	20:28:51	20:28:51	20:28:51	20:28:51	20:28:52	20:28:52			20:28:52	20:28:52	20:29:03	20:29:03	20:29:03	20:29:03	20:29:03	20:29:03			20:29:04	20:29:04		00:00:00	00:00:00		00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:12
4	20:29:04	20:29:04	20:29:04	20:29:04	20:29:04	20:29:04			20:29:04	20:29:04	20:29:16	20:29:16	20:29:16	20:29:16	20:29:16	20:29:16			20:29:17	20:29:17		00:00:00	00:00:00		00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:12
5	20:29:17	20:29:17	20:29:17	20:29:17	20:29:17	20:29:17			20:29:17	20:29:17	20:29:28	20:29:28	20:29:28	20:29:28	20:29:28	20:29:28			20:29:29	20:29:29		00:00:00	00:00:00		00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:12
6	20:29:29	20:29:29	20:29:29	20:29:29	20:29:29	20:29:29			20:29:29	20:29:29	20:29:41	20:29:41	20:29:41	20:29:41	20:29:41	20:29:41			20:29:42	20:29:42		00:00:00	00:00:00		00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:12
7	20:29:42	20:29:42	20:29:42	20:29:42	20:29:42	20:29:42			20:29:42	20:29:42	20:29:54	20:29:54	20:29:54	20:29:54	20:29:54	20:29:54			20:29:55	20:29:55		00:00:00	00:00:00		00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:12
8	20:29:55	20:29:55	20:29:55	20:29:55	20:29:55	20:29:55			20:29:55	20:29:55	20:30:07	20:30:07	20:30:07	20:30:07	20:30:07	20:30:07			20:30:07	20:30:07		00:00:00	00:00:00		00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:12
9	20:30:07	20:30:07	20:30:07	20:30:07	20:30:08	20:30:08			20:30:08	20:30:08	20:30:19	20:30:19	20:30:19	20:30:19	20:30:19	20:30:19			20:30:20	20:30:20		00:00:00	00:00:00		00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:12
