Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	13:11:30	13:11:30	13:11:30			13:11:30	13:11:30	13:11:30	13:11:30	13:11:30	13:11:37	13:11:37	13:11:37	13:11:37	13:11:37	13:11:37			13:11:38	13:11:38		00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:01	00:00:08
1	13:11:39	13:11:39	13:11:39	13:11:39	13:11:39	13:11:39	13:11:39	13:11:39	13:11:39	13:11:39	13:11:45	13:11:45	13:11:45	13:11:45	13:11:45	13:11:45			13:11:47	13:11:47		00:00:00	00:00:00	00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:02	00:00:08
2	13:11:47	13:11:47	13:11:47	13:11:47	13:11:48	13:11:48			13:11:48	13:11:48	13:11:55	13:11:55	13:11:55	13:11:55	13:11:55	13:11:55			13:11:57	13:11:57		00:00:00	00:00:00		00:00:00	00:00:07	00:00:00	00:00:00		00:00:02	00:00:09
3	13:11:57	13:11:57	13:11:57	13:11:57	13:11:57	13:11:57			13:11:57	13:11:57	13:12:05	13:12:05	13:12:05	13:12:05	13:12:05	13:12:05			13:12:06	13:12:06		00:00:00	00:00:00		00:00:00	00:00:07	00:00:00	00:00:00		00:00:01	00:00:08
4	13:12:06	13:12:06	13:12:06	13:12:06	13:12:06	13:12:06			13:12:06	13:12:06	13:12:13	13:12:13	13:12:13	13:12:13	13:12:13	13:12:13			13:12:14	13:12:14		00:00:00	00:00:00		00:00:00	00:00:06	00:00:00	00:00:00		00:00:01	00:00:07
5	13:12:14	13:12:14	13:12:14	13:12:14	13:12:14	13:12:14			13:12:14	13:12:14	13:12:19	13:12:19	13:12:19	13:12:19	13:12:19	13:12:19			13:12:21	13:12:21		00:00:00	00:00:00		00:00:00	00:00:05	00:00:00	00:00:00		00:00:01	00:00:06
6	13:12:21	13:12:21	13:12:21	13:12:21	13:12:21	13:12:21			13:12:21	13:12:21	13:12:26	13:12:26	13:12:26	13:12:26	13:12:26	13:12:26			13:12:27	13:12:27		00:00:00	00:00:00		00:00:00	00:00:05	00:00:00	00:00:00		00:00:01	00:00:06
7	13:12:27	13:12:27	13:12:27	13:12:27	13:12:27	13:12:27			13:12:27	13:12:27	13:12:33	13:12:33	13:12:33	13:12:33	13:12:33	13:12:33			13:12:34	13:12:34		00:00:00	00:00:00		00:00:00	00:00:05	00:00:00	00:00:00		00:00:01	00:00:06
8	13:12:34	13:12:34	13:12:34	13:12:34	13:12:35	13:12:35			13:12:35	13:12:35	13:12:39	13:12:39	13:12:39	13:12:39	13:12:39	13:12:39			13:12:41	13:12:41		00:00:00	00:00:00		00:00:00	00:00:04	00:00:00	00:00:00		00:00:01	00:00:06
9	13:12:41	13:12:41	13:12:41	13:12:41	13:12:41	13:12:41			13:12:41	13:12:41	13:12:46	13:12:46	13:12:46	13:12:46	13:12:46	13:12:46			13:12:47	13:12:47		00:00:00	00:00:00		00:00:00	00:00:05	00:00:00	00:00:00		00:00:00	00:00:06
