ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	5.809545846229394	5.809545846229394	5.809545846229394	5.809545846229394
1	6.594175184891856	6.32915182547646	6.48885672778661	6.648561630096764
2	7.044170776956607	6.48118995286082	6.8090372302523745	7.133909005744551
3	7.4305787252506565	6.610374104312675	7.036669830676496	7.463703900275831
4	7.894774689545578	6.783196451955853	7.358488098740627	7.9168035595418464
5	8.270630114602167	7.036518631099538	7.694643018417919	8.333376267108738
6	8.790375810081501	7.236377470084456	8.048375998395596	8.837718829426862
7	8.958226321609732	7.240146307144727	8.131008562930832	8.982879483954845
8	9.382529210454875	7.42800170625462	8.440575702453266	9.41340494944551
9	9.700910895516857	7.596896921630797	8.728066176115902	9.800655895386344
10	9.713806913350505	7.4609012711835385	8.663039929127468	9.762584312908151
11	10.238943184369335	7.738090550084492	9.069635520196483	10.291209278828363
12	10.470236367090214	7.765425177474413	9.224565308737189	10.556901993618682
13	10.79542616540172	7.857133688660945	9.41923506052002	10.854105306317242
14	11.062225586123798	7.949363466470128	9.60300830535712	11.11626437828489
15	11.289957357867136	7.983053491867001	9.732200346934775	11.315707775168194
16	11.415859467287055	8.046137917381264	9.842113760597819	11.450550018260076
17	11.594075156045603	8.058753598321891	9.938560129473878	11.612680174654447
18	11.786717290708607	8.18566232687485	10.114662082203647	11.805634687222073
19	11.854818460694363	8.229238367127916	10.192053810767819	11.890006398349026
20	11.748551391973766	8.180476744796467	10.152789417320713	11.841363516162215
21	12.012474048668563	8.243005336488551	10.303353289538823	12.060057204462895
22	12.155461487354337	8.248930200924587	10.382176285123116	12.18398807181117
23	12.159530079007085	8.25842891093195	10.401059708708521	12.19450543540815
24	12.293684107208927	8.326567400386875	10.519445806234193	12.340145938045788
25	12.485341287992984	8.333340924351564	10.609376377110786	12.510268145907974
26	12.575192556039257	8.359103213443138	10.675289005841131	12.59723033885898
27	12.627718704207105	8.393258007071841	10.7429259974725	12.675989124090519
28	12.771389546713777	8.415127086629644	10.831022787676956	12.822819894535105
29	12.726425114377443	8.436945515031917	10.826550418391827	12.783459305152922
30	12.746906058745694	8.428890965694405	10.851825422856932	12.827891756126464
31	12.836839066658667	8.444834653544309	10.888535847806526	12.871238312540696
32	12.820308977453328	8.414633680884144	10.907188995953264	12.91478450677928
33	12.98987517455137	8.48713273175103	11.030450378201206	13.074827073939051
34	13.110450202898136	8.48808629741338	11.084134627425312	13.166730617238304
35	12.976084165197273	8.45731872929454	11.01785990323059	13.012559686620975
36	12.982956544519308	8.469866770673441	11.05931403780127	13.06951417030559
37	12.984904222277109	8.415465829530374	11.006742906214113	13.010993933946786
38	13.161309403894897	8.474077632759096	11.134768305292038	13.202378006264164
39	13.075474329124626	8.458566470978157	11.101249549859402	13.124667663748737
40	13.1703127058376	8.471014274068821	11.163050130998325	13.231634741853535
41	13.134388813074686	8.46774109282555	11.164890247277636	13.19600122505561
42	13.165666986773253	8.467305118538032	11.189609297898095	13.229584338588966
43	13.100767734302735	8.444930659493279	11.159028195988475	13.189325195268307
44	13.132442363311732	8.413271440593443	11.163760498763766	13.219085805181729
45	13.263718639429168	8.433958557698043	11.217457352748905	13.300186841766434
46	13.238385336386182	8.450287436001172	11.24385027361071	13.311474094957788
47	13.149428603583809	8.434054803287003	11.220579477390055	13.26330797136627
48	13.15635369925905	8.393130562730805	11.198581379406027	13.229240140803197
49	13.14711164522515	8.392953945901718	11.193273565722926	13.197739912013649
50	13.238371776414986	8.372991081618808	11.223267191476557	13.301169024229623
51	13.239280645683387	8.37740566441287	11.236622780752521	13.302350669189025
52	13.30698618023725	8.380192216359449	11.268816826925256	13.368344301291263
53	13.274843057221522	8.364850803831036	11.244329009758918	13.309426229392717
54	13.262725852144317	8.386692628000594	11.291540722873899	13.368439100567594
55	13.18942453872373	8.374944777148883	11.265189359959164	13.318311235562657
56	13.227363807678758	8.363244359618708	11.254943017524088	13.30410775487867
57	13.205490810696311	8.370992252982964	11.26225898548617	13.286620518327563
58	13.203693913646301	8.348238126924237	11.245464043862931	13.290592330261928
59	13.314430330911073	8.352293090263766	11.278640775913491	13.361518481732572
60	13.315396520201672	8.34046449333564	11.28915679940587	13.365525459637283
61	13.292741622198859	8.352057141752388	11.312461672309922	13.39647298137294
62	13.279850550308542	8.336056329940266	11.3076027989994	13.387376939635391
63	13.317094083595569	8.320463268687234	11.323893820898475	13.421427440197636
64	13.258468165772486	8.329335240514325	11.313628156275508	13.366397846545976
65	13.178926192019036	8.315854384994923	11.29015735600146	13.304213452570702
66	13.215263895936689	8.293181792041816	11.295041180262194	13.34046083072711
67	13.229804851449826	8.290933356232362	11.293254474988425	13.34319614311573
68	13.282506318002543	8.294151908518344	11.311994723523435	13.362810840795344
69	13.238553167688561	8.281992411799395	11.295987067702256	13.322486179556497
70	13.324440325109514	8.276418826778809	11.331233488083999	13.429391436582943
71	13.271860461549714	8.266760258408727	11.306118861340016	13.376710915109369
72	13.292023596192525	8.27704363298824	11.318497718702085	13.387058974889502
73	13.223683946533516	8.258967398520108	11.286357954658287	13.341420150890318
74	13.263774469808341	8.250218283868731	11.281235603194375	13.340711661780654
75	13.316080929601759	8.252452896963348	11.307878123683476	13.440035284137622
76	13.332193164415118	8.257435089390519	11.323345844014618	13.465988993643627
77	13.234117553445653	8.249660702607553	11.293351152972017	13.355429942999518
78	13.193064508347938	8.224273190166278	11.281289237335482	13.356589283505526
79	13.254499174943012	8.221532169127066	11.27171356148781	13.341728531737028
80	13.245225082669233	8.207315301758012	11.263702365352962	13.342721555213256
81	13.325465613458771	8.22499907020626	11.310163890991863	13.444721546729198
82	13.290934544804408	8.216293386667575	11.293236145057302	13.389506037244452
83	13.36394953087713	8.213564707037605	11.311471928476797	13.447388895731226
84	13.357915621474813	8.210007539197244	11.30774188599011	13.435245023603851
85	13.381870274121804	8.21119529498445	11.32729242243666	13.505725360864682
86	13.367467244211554	8.205837155683803	11.3208852838534	13.459172245828738
87	13.36244945499887	8.210765314423845	11.319852472702273	13.423992106384867
88	13.399190311964754	8.214419753356173	11.3448865123671	13.531227276941644
89	13.397322612523835	8.20834483654247	11.342412590636664	13.496177974832413
90	13.436453293862767	8.208335478947715	11.352589287058873	13.493027021925919
91	13.457265407322984	8.207743457052528	11.362373754742599	13.516410155731592
92	13.370406660441688	8.20212040359763	11.345819961363944	13.478736916946277
93	13.36733728828943	8.19868399034072	11.351154952282942	13.459074487480118
94	13.312255685446928	8.1888371346721	11.338879692117748	13.434212230973134
95	13.464999257426449	8.192207230995487	11.370322259986809	13.546765088753945
96	13.35222424860938	8.190735146197293	11.341407040646489	13.419475024666394
97	13.250447497940332	8.186989111510387	11.324413815114035	13.371682235403894
98	13.335184621098989	8.186572647151095	11.339932601101925	13.43314918333416
99	13.402472865743572	8.182336185494247	11.347222544230517	13.46463064892475
100	13.383059760153845	8.184045526277282	11.350221379184468	13.468698235897854
