Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	04:34:49	04:34:49	04:34:49			04:34:49	04:34:49	04:34:49	04:34:49	04:34:49	04:34:53	04:34:53	04:34:53	04:34:53	04:34:53	04:34:53			04:34:55	04:34:55		00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:02	00:00:05
1	04:34:55	04:34:55	04:34:55	04:34:55	04:34:55	04:34:55	04:34:55	04:34:55	04:34:55	04:34:55	04:34:58	04:34:58	04:34:58	04:34:58	04:34:58	04:34:58			04:34:59	04:34:59		00:00:00	00:00:00	00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:03
2	04:34:59	04:34:59	04:34:59	04:34:59	04:34:59	04:34:59			04:34:59	04:34:59	04:35:01	04:35:01	04:35:01	04:35:01	04:35:01	04:35:01			04:35:02	04:35:02		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
3	04:35:02	04:35:02	04:35:02	04:35:02	04:35:02	04:35:02			04:35:02	04:35:02	04:35:04	04:35:04	04:35:04	04:35:04	04:35:04	04:35:04			04:35:05	04:35:05		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
4	04:35:05	04:35:05	04:35:05	04:35:05	04:35:05	04:35:05			04:35:05	04:35:05	04:35:07	04:35:07	04:35:07	04:35:07	04:35:07	04:35:07			04:35:07	04:35:07		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
5	04:35:07	04:35:07	04:35:07	04:35:07	04:35:07	04:35:07			04:35:07	04:35:07	04:35:09	04:35:09	04:35:09	04:35:09	04:35:09	04:35:09			04:35:10	04:35:10		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
6	04:35:10	04:35:10	04:35:10	04:35:10	04:35:10	04:35:10			04:35:10	04:35:10	04:35:11	04:35:11	04:35:11	04:35:11	04:35:11	04:35:11			04:35:12	04:35:12		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
7	04:35:12	04:35:12	04:35:12	04:35:12	04:35:12	04:35:12			04:35:12	04:35:12	04:35:14	04:35:14	04:35:14	04:35:14	04:35:14	04:35:14			04:35:15	04:35:15		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
8	04:35:15	04:35:15	04:35:15	04:35:15	04:35:15	04:35:15			04:35:15	04:35:15	04:35:16	04:35:16	04:35:16	04:35:16	04:35:16	04:35:16			04:35:17	04:35:17		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
9	04:35:17	04:35:17	04:35:17	04:35:17	04:35:17	04:35:17			04:35:17	04:35:17	04:35:19	04:35:19	04:35:19	04:35:19	04:35:19	04:35:19			04:35:19	04:35:19		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
10	04:35:20	04:35:20	04:35:20	04:35:20	04:35:20	04:35:20	04:35:20	04:35:20	04:35:20	04:35:20	04:35:21	04:35:21	04:35:21	04:35:21	04:35:21	04:35:21	04:35:21	04:35:21	04:35:22	04:35:22		00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00	00:00:00	00:00:01	00:00:02
11	04:35:22	04:35:22	04:35:22	04:35:22	04:35:23	04:35:23			04:35:23	04:35:23	04:35:24	04:35:24	04:35:24	04:35:24	04:35:24	04:35:24			04:35:25	04:35:25		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
12	04:35:25	04:35:25	04:35:25	04:35:25	04:35:25	04:35:25			04:35:25	04:35:25	04:35:26	04:35:26	04:35:26	04:35:26	04:35:26	04:35:26			04:35:27	04:35:27		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
13	04:35:27	04:35:27	04:35:27	04:35:27	04:35:27	04:35:27			04:35:27	04:35:27	04:35:28	04:35:28	04:35:28	04:35:28	04:35:28	04:35:28			04:35:29	04:35:29		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
14	04:35:29	04:35:29	04:35:29	04:35:29	04:35:29	04:35:29			04:35:29	04:35:29	04:35:31	04:35:31	04:35:31	04:35:31	04:35:31	04:35:31			04:35:31	04:35:31		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
15	04:35:31	04:35:31	04:35:31	04:35:31	04:35:31	04:35:31			04:35:31	04:35:31	04:35:33	04:35:33	04:35:33	04:35:33	04:35:33	04:35:33			04:35:33	04:35:33		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
16	04:35:33	04:35:33	04:35:33	04:35:33	04:35:34	04:35:34			04:35:34	04:35:34	04:35:35	04:35:35	04:35:35	04:35:35	04:35:35	04:35:35			04:35:35	04:35:35		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:01
17	04:35:36	04:35:36	04:35:36	04:35:36	04:35:36	04:35:36			04:35:36	04:35:36	04:35:37	04:35:37	04:35:37	04:35:37	04:35:37	04:35:37			04:35:38	04:35:38		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:01
18	04:35:38	04:35:38	04:35:38	04:35:38	04:35:38	04:35:38			04:35:38	04:35:38	04:35:39	04:35:39	04:35:39	04:35:39	04:35:39	04:35:39			04:35:40	04:35:40		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
19	04:35:40	04:35:40	04:35:40	04:35:40	04:35:40	04:35:40			04:35:40	04:35:40	04:35:41	04:35:41	04:35:41	04:35:41	04:35:41	04:35:41			04:35:42	04:35:42		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
20	04:35:42	04:35:42	04:35:42	04:35:42	04:35:42	04:35:42	04:35:42	04:35:42	04:35:42	04:35:42	04:35:44	04:35:44	04:35:44	04:35:44	04:35:44	04:35:44	04:35:44	04:35:44	04:35:45	04:35:45		00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00	00:00:00	00:00:00	00:00:02
21	04:35:45	04:35:45	04:35:45	04:35:45	04:35:45	04:35:45			04:35:45	04:35:45	04:35:46	04:35:46	04:35:46	04:35:46	04:35:46	04:35:46			04:35:47	04:35:47		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:01
22	04:35:47	04:35:47	04:35:47	04:35:47	04:35:47	04:35:47			04:35:47	04:35:47	04:35:48	04:35:48	04:35:48	04:35:48	04:35:48	04:35:48			04:35:49	04:35:49		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
23	04:35:49	04:35:49	04:35:49	04:35:49	04:35:49	04:35:49			04:35:49	04:35:49	04:35:51	04:35:51	04:35:51	04:35:51	04:35:51	04:35:51			04:35:51	04:35:51		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
24	04:35:51	04:35:51	04:35:51	04:35:51	04:35:51	04:35:51			04:35:51	04:35:51	04:35:53	04:35:53	04:35:53	04:35:53	04:35:53	04:35:53			04:35:53	04:35:53		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
25	04:35:53	04:35:53	04:35:53	04:35:53	04:35:54	04:35:54			04:35:54	04:35:54	04:35:55	04:35:55	04:35:55	04:35:55	04:35:55	04:35:55			04:35:56	04:35:56		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
