Iteration	car	pt	walk
0	1.0	0.0	0.0
1	0.952	0.048	0.0
2	0.912	0.088	0.0
3	0.89	0.11	0.0
4	0.854	0.146	0.0
5	0.832	0.168	0.0
6	0.814	0.186	0.0
7	0.812	0.188	0.0
8	0.79	0.21	0.0
9	0.762	0.238	0.0
10	0.77	0.23	0.0
11	0.772	0.228	0.0
12	0.774	0.226	0.0
13	0.764	0.236	0.0
14	0.796	0.204	0.0
15	0.764	0.236	0.0
16	0.78	0.22	0.0
17	0.766	0.234	0.0
18	0.776	0.224	0.0
19	0.786	0.214	0.0
20	0.78	0.22	0.0
21	0.796	0.204	0.0
22	0.78	0.22	0.0
23	0.78	0.22	0.0
24	0.786	0.214	0.0
25	0.812	0.188	0.0
26	0.8	0.2	0.0
27	0.804	0.196	0.0
28	0.796	0.204	0.0
29	0.788	0.212	0.0
30	0.794	0.206	0.0
31	0.808	0.192	0.0
32	0.806	0.194	0.0
33	0.798	0.202	0.0
34	0.816	0.184	0.0
35	0.824	0.176	0.0
36	0.812	0.188	0.0
37	0.824	0.176	0.0
38	0.83	0.17	0.0
39	0.836	0.164	0.0
40	0.826	0.174	0.0
41	0.828	0.172	0.0
42	0.83	0.17	0.0
43	0.818	0.182	0.0
44	0.84	0.16	0.0
45	0.84	0.16	0.0
46	0.838	0.162	0.0
47	0.826	0.174	0.0
48	0.82	0.18	0.0
49	0.818	0.182	0.0
50	0.816	0.184	0.0
51	0.814	0.186	0.0
52	0.836	0.164	0.0
53	0.814	0.186	0.0
54	0.81	0.19	0.0
55	0.796	0.204	0.0
56	0.838	0.162	0.0
57	0.802	0.198	0.0
58	0.802	0.198	0.0
59	0.818	0.182	0.0
60	0.804	0.196	0.0
61	0.792	0.208	0.0
62	0.82	0.18	0.0
63	0.78	0.22	0.0
64	0.826	0.174	0.0
65	0.816	0.184	0.0
66	0.806	0.194	0.0
67	0.814	0.186	0.0
68	0.81	0.19	0.0
69	0.798	0.202	0.0
70	0.822	0.178	0.0
71	0.814	0.186	0.0
72	0.792	0.208	0.0
73	0.836	0.164	0.0
74	0.876	0.124	0.0
75	0.842	0.158	0.0
76	0.842	0.158	0.0
77	0.824	0.176	0.0
78	0.83	0.17	0.0
79	0.84	0.16	0.0
80	0.828	0.172	0.0
81	0.822	0.178	0.0
82	0.81	0.19	0.0
83	0.808	0.192	0.0
84	0.814	0.186	0.0
85	0.816	0.184	0.0
86	0.82	0.18	0.0
87	0.808	0.192	0.0
88	0.824	0.176	0.0
89	0.822	0.178	0.0
90	0.792	0.208	0.0
91	0.82	0.18	0.0
92	0.808	0.192	0.0
93	0.808	0.192	0.0
94	0.804	0.196	0.0
95	0.804	0.196	0.0
96	0.812	0.188	0.0
97	0.796	0.204	0.0
98	0.81	0.19	0.0
99	0.79	0.21	0.0
100	0.786	0.214	0.0
