Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	16:58:32	16:58:32	16:58:32			16:58:32	16:58:32	16:58:32	16:58:32	16:58:32	16:58:36	16:58:36	16:58:36	16:58:36	16:58:36	16:58:36			16:58:38	16:58:38		00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:01	00:00:05
1	16:58:38	16:58:38	16:58:38	16:58:38	16:58:38	16:58:38	16:58:38	16:58:38	16:58:38	16:58:38	16:58:42	16:58:42	16:58:42	16:58:42	16:58:42	16:58:42			16:58:44	16:58:44		00:00:00	00:00:00	00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:01	00:00:05
2	16:58:44	16:58:44	16:58:44	16:58:44	16:58:44	16:58:44			16:58:44	16:58:44	16:58:47	16:58:47	16:58:47	16:58:47	16:58:47	16:58:47			16:58:48	16:58:48		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:03
3	16:58:48	16:58:48	16:58:48	16:58:48	16:58:48	16:58:48			16:58:48	16:58:48	16:58:50	16:58:50	16:58:50	16:58:50	16:58:50	16:58:50			16:58:51	16:58:51		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:03
4	16:58:52	16:58:52	16:58:52	16:58:52	16:58:52	16:58:52			16:58:52	16:58:52	16:58:54	16:58:54	16:58:54	16:58:54	16:58:54	16:58:54			16:58:55	16:58:55		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
5	16:58:55	16:58:55	16:58:55	16:58:55	16:58:55	16:58:55			16:58:55	16:58:55	16:58:57	16:58:57	16:58:57	16:58:57	16:58:57	16:58:57			16:58:58	16:58:58		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:03
6	16:58:58	16:58:58	16:58:58	16:58:58	16:58:59	16:58:59			16:58:59	16:58:59	16:59:01	16:59:01	16:59:01	16:59:01	16:59:01	16:59:01			16:59:03	16:59:03		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:04
7	16:59:03	16:59:03	16:59:03	16:59:03	16:59:03	16:59:03			16:59:03	16:59:03	16:59:05	16:59:05	16:59:05	16:59:05	16:59:05	16:59:05			16:59:06	16:59:06		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:03
8	16:59:06	16:59:06	16:59:06	16:59:06	16:59:06	16:59:06			16:59:06	16:59:06	16:59:08	16:59:08	16:59:08	16:59:08	16:59:08	16:59:08			16:59:09	16:59:09		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
9	16:59:09	16:59:09	16:59:09	16:59:09	16:59:10	16:59:10			16:59:10	16:59:10	16:59:12	16:59:12	16:59:12	16:59:12	16:59:12	16:59:12			16:59:13	16:59:13		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:03
10	16:59:13	16:59:13	16:59:13	16:59:13	16:59:13	16:59:13	16:59:13	16:59:13	16:59:13	16:59:13	16:59:15	16:59:15	16:59:15	16:59:15	16:59:15	16:59:15	16:59:15	16:59:15	16:59:17	16:59:17		00:00:00	00:00:00	00:00:00	00:00:00	00:00:02	00:00:00	00:00:00	00:00:00	00:00:01	00:00:04
11	16:59:17	16:59:17	16:59:17	16:59:17	16:59:17	16:59:17			16:59:17	16:59:17	16:59:19	16:59:19	16:59:19	16:59:19	16:59:19	16:59:19			16:59:20	16:59:20		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:03
12	16:59:20	16:59:20	16:59:20	16:59:20	16:59:20	16:59:20			16:59:20	16:59:20	16:59:22	16:59:22	16:59:22	16:59:22	16:59:22	16:59:22			16:59:23	16:59:23		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
13	16:59:23	16:59:23	16:59:23	16:59:23	16:59:23	16:59:23			16:59:23	16:59:23	16:59:25	16:59:25	16:59:25	16:59:25	16:59:25	16:59:25			16:59:26	16:59:26		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
