ITERATION	AvgTripDuration	EvacuationEndSeconds	CarRatio	AvgTravelDistance
0	6506.3	14100	1.0	3697.0105883426195
1	5552.8	13500	0.948	3592.7621278097313
2	5026.6	13200	0.914	3526.6454747645203
3	4852.8	12900	0.906	3501.3627219061855
4	4380.5	12600	0.874	3441.4017809042252
5	4057.5	12300	0.846	3385.0909723623026
6	3742.3	11700	0.824	3348.823702017661
7	3647.3	11700	0.818	3341.7006629875928
8	3311.3	11100	0.786	3277.199124367348
9	3083.9	10800	0.754	3215.4760669845664
10	3121.4	10800	0.764	3260.523162505879
11	2813.7	10200	0.726	3206.3577926446465
12	2687.4	9900	0.708	3167.222046668218
13	2584.7	9600	0.706	3186.5907928433344
14	2527.2	9300	0.714	3235.3763831954616
15	2411.2	9000	0.7	3218.7660903808996
16	2401.5	9000	0.698	3215.5717630739214
17	2296.9	8700	0.694	3229.7234711117776
18	2215.3	8400	0.684	3231.007515674761
19	2181.1	8100	0.67	3205.4880559558983
20	2221.6	8100	0.674	3247.364224949651
21	2143.5	7800	0.674	3268.5040330240786
22	2059.0	7500	0.668	3268.152044763962
23	2046.0	7500	0.668	3279.8264656626534
24	2050.2	7500	0.666	3297.312441457317
25	1978.7	7200	0.674	3337.7790453449916
26	1963.3	6900	0.67	3347.222448655696
27	1950.1	7200	0.662	3349.3071015584997
28	1931.7	7200	0.67	3380.6744275762826
29	1924.0	6600	0.674	3403.4352186956257
30	1884.1	6300	0.674	3420.368793462121
31	1935.6	6300	0.7	3520.6644961832453
32	1869.3	6300	0.684	3496.1700376270564
33	1834.5	6000	0.686	3515.3830933126674
34	1832.7	6000	0.696	3579.287464339385
35	1859.0	6000	0.7	3626.576384697912
36	1831.4	6000	0.704	3652.9004800501075
37	1851.3	6000	0.718	3697.222034793772
38	1804.4	6000	0.712	3760.5390875529065
39	1832.4	6000	0.716	3779.14840584797
40	1844.5	6000	0.726	3816.967867140255
41	1862.5	6000	0.75	3916.995925486458
42	1791.6	6000	0.738	3909.8262407219263
43	1840.4	6000	0.74	3899.933390850576
44	1824.3	6000	0.746	3943.019755143202
45	1900.7	6300	0.758	3990.9468335161923
46	1868.5	6000	0.768	4043.471134886967
47	1854.7	6000	0.762	4063.8975230502665
48	1852.4	6000	0.77	4084.7531156174487
49	1880.7	6000	0.778	4108.987532928173
50	1831.7	6000	0.766	4044.0258468038337
51	1889.7	6300	0.776	4094.656636150219
52	1862.4	6000	0.792	4148.613982176065
53	1918.9	6000	0.804	4219.452002097124
54	1865.2	5700	0.79	4198.409673701465
55	1878.6	5700	0.788	4206.028287829666
56	1920.3	5700	0.81	4274.241027849503
57	1920.2	6000	0.82	4343.367021617622
58	1858.9	5700	0.81	4355.086196657366
59	1887.8	6000	0.818	4349.583222626934
60	1859.1	5400	0.816	4357.336537345971
61	1876.6	5700	0.81	4357.983018886125
62	1855.3	5700	0.8	4304.0032053816685
63	1959.8	5700	0.834	4465.079580454223
64	1880.6	5700	0.82	4421.836924425674
65	1927.9	6000	0.822	4425.5812140487
66	1991.7	5700	0.846	4544.444181557225
67	2006.4	6000	0.85	4558.454417164352
68	1959.6	5700	0.848	4563.005900577595
69	1970.0	5700	0.844	4576.296308213003
70	1970.9	6000	0.844	4637.863148610407
71	1950.4	5700	0.846	4604.228142129615
72	1985.8	5700	0.846	4614.766934318907
73	2030.6	6000	0.858	4640.005168648579
74	2015.5	5700	0.862	4667.786496014367
75	1999.7	6000	0.854	4644.373312099093
76	1954.8	5400	0.844	4620.950177786427
77	1906.6	5400	0.838	4566.450508292186
78	1952.5	5400	0.838	4604.52967968537
79	1987.3	5400	0.866	4701.321493860098
80	1987.2	5700	0.854	4672.2590621786985
81	2015.0	5700	0.862	4731.925660883326
82	2045.0	5700	0.862	4693.224641682326
83	2002.6	5400	0.862	4700.317743097548
84	1985.4	5400	0.854	4654.8616182023825
85	2082.6	5700	0.878	4723.26994506783
86	2037.2	5400	0.882	4816.261016639231
87	2089.0	5700	0.894	4790.929342523299
88	1980.4	5400	0.866	4741.9408338140875
89	2058.5	5700	0.88	4784.214878349558
90	2063.6	5400	0.89	4838.717079019034
91	2112.5	5700	0.902	4883.65749947448
92	2018.6	5400	0.89	4839.847006932589
93	2066.7	5400	0.89	4883.243209929065
94	1959.8	5400	0.862	4763.5502993896
95	2025.2	5700	0.888	4856.057736643093
96	2065.3	5400	0.896	4905.823709100211
97	2014.7	5400	0.888	4906.1302716378505
98	1995.9	5400	0.88	4860.642862995646
99	1986.7	5400	0.89	4898.805075007807
100	1973.1	5400	0.882	4856.95232466253
