ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	5.704602607643461	5.704602607643461	5.704602607643461	5.704602607643461
1	7.630605191685006	6.65377728696665	7.164266300871757	7.674755314776862
2	8.553111086968327	6.806719535274588	7.726796344400939	8.627202059220696
3	9.53343055120079	7.277058554994799	8.452827906960756	9.581000949880655
4	10.317980658418064	7.619742655367745	9.056923995658893	10.397852744836976
5	11.079657062302863	8.015652478128278	9.669187390308807	11.16859586360313
6	11.511071781615586	8.121253256587604	9.974577476876247	11.653311035345295
7	11.403399364404669	8.01777900178674	9.894888459654593	11.56480499312755
8	11.724339997527592	7.991911228283785	10.033922846653097	11.815702826999551
9	11.926865125488849	8.117644399217593	10.27564531196976	12.12101965287527
10	12.305345735657607	8.250108775714335	10.546049499192772	12.46246503353115
11	12.439605309448277	8.259053722338603	10.665530418037816	12.613502254976522
12	12.665324869378152	8.302029862893836	10.801157387871552	12.827711847529264
13	12.511080685582108	8.258924207910288	10.757539161917354	12.732050157624494
14	12.868183783008808	8.27306550620477	10.909768921834285	12.97843135579329
15	12.735104197754032	8.22807070426391	10.862872329424368	12.88345508382109
16	12.856517692701438	8.326312482857913	11.003820536454837	13.005988693784568
17	12.672493491840765	8.202263896451829	10.920787281473864	12.926069365523821
18	13.020551387510137	8.265692711071694	11.088289762323557	13.168797940236972
19	12.881443463637591	8.220077202817397	11.055077015623663	13.123579096205528
20	13.029975669876594	8.186753549728136	11.080942842413526	13.1794460626228
21	12.990516437050188	8.156273217984262	11.092674385651154	13.197470098204336
22	13.112966279777485	8.173791834570988	11.149300543608724	13.245598406325302
23	13.107604839602365	8.172038495731435	11.159339655776826	13.253889726670657
24	12.924953095714521	8.114013335651919	11.111699329402567	13.183748395306178
25	12.929800081487485	8.052201897328645	11.068293192719224	13.140767111740548
26	13.042959616528858	8.068862520992711	11.144287614582014	13.258471858786574
27	13.054312485421336	8.03633558567765	11.166972627458508	13.367979046071982
28	13.265961079453472	8.014638996077077	11.18412044835962	13.430201856135993
29	13.240499000670104	8.006448303027483	11.188685902597014	13.409714582667236
30	13.314597589529109	7.995279591271484	11.2222546690262	13.500275662704471
31	13.289267442858248	7.982314548089474	11.20912177714531	13.443945008198321
32	13.275605958668143	7.982528625504498	11.229513945004912	13.463131653600666
33	13.219542556675052	7.959643800235193	11.239926791432651	13.497789645539422
34	13.228850734967939	7.945905246487311	11.234217839955978	13.48186909093484
35	13.272264413071568	7.922295707486615	11.229829062976897	13.464009164500357
36	13.108726813671174	7.885678360891368	11.19926198963397	13.413105123742106
37	13.198291824781498	7.88296958090201	11.191661999432137	13.37077228266428
38	13.19965212405689	7.882428351866581	11.210124766184583	13.409357699655954
39	13.16647143955197	7.862843541060796	11.189903907209498	13.405793625592777
40	13.342969986414966	7.866259038682985	11.246602376228797	13.542945815809482
41	13.330518442372556	7.863884125676501	11.239457368256494	13.48433561972833
42	13.328322410325153	7.863508539126285	11.251550882739876	13.525081826427439
