Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	10:54:18	10:54:18	10:54:18			10:54:18	10:54:19	10:54:19	10:54:19	10:54:19	10:54:23	10:54:23	10:54:23	10:54:23	10:54:23	10:54:23			10:54:24	10:54:24		00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:01	00:00:05
1	10:54:24	10:54:24	10:54:24	10:54:24	10:54:24	10:54:24	10:54:24	10:54:24	10:54:24	10:54:24	10:54:28	10:54:28	10:54:28	10:54:28	10:54:28	10:54:28			10:54:29	10:54:29		00:00:00	00:00:00	00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:01	00:00:05
2	10:54:30	10:54:30	10:54:30	10:54:30	10:54:30	10:54:30			10:54:30	10:54:30	10:54:32	10:54:32	10:54:32	10:54:32	10:54:32	10:54:32			10:54:33	10:54:33		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
3	10:54:33	10:54:33	10:54:33	10:54:33	10:54:33	10:54:33			10:54:33	10:54:33	10:54:35	10:54:35	10:54:35	10:54:35	10:54:35	10:54:35			10:54:36	10:54:36		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
4	10:54:36	10:54:36	10:54:36	10:54:36	10:54:36	10:54:36			10:54:37	10:54:37	10:54:39	10:54:39	10:54:39	10:54:39	10:54:39	10:54:39			10:54:40	10:54:40		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:03
5	10:54:40	10:54:40	10:54:40	10:54:40	10:54:40	10:54:40			10:54:40	10:54:40	10:54:42	10:54:42	10:54:42	10:54:42	10:54:42	10:54:42			10:54:43	10:54:43		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
6	10:54:43	10:54:43	10:54:43	10:54:43	10:54:43	10:54:43			10:54:43	10:54:43	10:54:45	10:54:45	10:54:45	10:54:45	10:54:45	10:54:45			10:54:46	10:54:46		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:03
7	10:54:47	10:54:47	10:54:47	10:54:47	10:54:47	10:54:47			10:54:47	10:54:47	10:54:49	10:54:49	10:54:49	10:54:49	10:54:49	10:54:49			10:54:50	10:54:50		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:03
8	10:54:50	10:54:50	10:54:50	10:54:50	10:54:50	10:54:50			10:54:50	10:54:50	10:54:52	10:54:52	10:54:52	10:54:52	10:54:52	10:54:52			10:54:53	10:54:53		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
9	10:54:53	10:54:53	10:54:53	10:54:53	10:54:53	10:54:53			10:54:53	10:54:53	10:54:55	10:54:55	10:54:55	10:54:55	10:54:55	10:54:55			10:54:56	10:54:56		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
10	10:54:56	10:54:56	10:54:56	10:54:56	10:54:56	10:54:56	10:54:56	10:54:56	10:54:56	10:54:56	10:54:58	10:54:58	10:54:58	10:54:58	10:54:58	10:54:58	10:54:58	10:54:58	10:55:00	10:55:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:02	00:00:00	00:00:00	00:00:00	00:00:01	00:00:04
11	10:55:00	10:55:00	10:55:00	10:55:00	10:55:00	10:55:00			10:55:00	10:55:00	10:55:02	10:55:02	10:55:02	10:55:02	10:55:02	10:55:02			10:55:03	10:55:03		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
12	10:55:03	10:55:03	10:55:03	10:55:03	10:55:03	10:55:03			10:55:03	10:55:03	10:55:05	10:55:05	10:55:05	10:55:05	10:55:05	10:55:05			10:55:06	10:55:06		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
