ITERATION	AvgTripDuration	EvacuationEndSeconds	CarRatio	AvgTravelDistance
0	6557.3	14100	1.0	3697.0105883426195
1	5004.3	12600	0.952	3703.782678354822
2	4228.3	12000	0.912	3708.430756714414
3	3629.6	10800	0.886	3713.5479479588735
4	3053.2	9900	0.85	3719.9923211646096
5	2661.7	8700	0.826	3754.979438474154
6	2396.5	8400	0.806	3765.5185758814796
7	2427.4	8100	0.802	3795.400956294069
8	2203.4	7800	0.8	3830.5378784698482
9	2101.2	7800	0.766	3742.144485417842
10	2069.6	6900	0.776	3884.8508421323263
11	2071.2	6900	0.792	3947.516136763935
12	1961.6	6600	0.776	3959.8512697975216
13	1943.2	6300	0.772	3976.0293694889356
14	1913.7	6000	0.792	4043.536892279312
15	1858.5	6300	0.774	4028.1730714257915
16	1927.7	5700	0.78	4122.667934867542
17	1846.6	6000	0.786	4055.7537732002947
18	1797.7	5400	0.78	4110.77931557195
19	1828.1	5700	0.784	4201.960636189888
20	1806.1	5700	0.78	4150.316717838948
21	1783.5	5400	0.792	4276.735607548623
22	1814.0	5700	0.776	4203.985756360924
23	1825.2	5400	0.8	4276.008708914125
24	1805.4	5700	0.8	4352.663574532213
25	1888.2	6000	0.814	4408.262780577205
26	1844.4	5400	0.812	4425.616616869145
27	1773.8	5700	0.808	4433.908895225598
28	1773.7	5400	0.796	4343.5051167742795
29	1832.1	5400	0.812	4473.156925671522
30	1790.8	5100	0.81	4478.329815116172
31	1897.9	5400	0.828	4559.646772326276
32	1885.8	5700	0.846	4578.049960943637
33	1847.0	5700	0.818	4508.161733162904
34	1810.0	5700	0.818	4490.211325798686
35	1864.8	5400	0.83	4598.188617980148
36	1746.3	5100	0.812	4482.532967388353
37	1834.1	5400	0.824	4539.1543757862
38	1831.9	5100	0.828	4652.9479161414265
39	1891.2	5400	0.836	4659.065071638044
40	1898.3	5100	0.846	4628.884145253119
41	1903.3	5100	0.846	4665.606055390631
42	1825.5	5100	0.828	4678.958678789126
43	1769.8	5100	0.814	4611.071251824278
44	1752.2	5100	0.814	4602.697889259644
45	1775.0	5400	0.81	4599.040567864885
46	1745.5	5100	0.816	4621.060858618787
47	1775.7	5400	0.802	4532.186671431463
48	1802.2	4800	0.832	4637.75582759505
49	1819.0	5100	0.838	4706.542846800273
50	1752.8	4800	0.83	4703.3880526531175
51	1750.9	5400	0.818	4653.800878154144
52	1870.0	5100	0.844	4720.797488006265
53	1818.4	4800	0.832	4709.602729775649
54	1797.3	5100	0.828	4707.05890304726
55	1688.6	4800	0.8	4587.86980573644
56	1820.9	5100	0.842	4762.400883160659
57	1712.1	5100	0.804	4602.783529932233
58	1692.0	4800	0.808	4629.497325520527
59	1788.4	5400	0.824	4661.14899347846
60	1763.0	4500	0.828	4646.360885182382
61	1748.5	5400	0.8	4608.305354872326
62	1709.2	4500	0.822	4626.438013405898
63	1696.4	5100	0.802	4580.167293897574
64	1734.6	4800	0.828	4677.030718954397
65	1738.5	6000	0.816	4720.333078333888
66	1660.2	4800	0.8	4679.735996587187
67	1677.8	5700	0.8	4562.669326873308
68	1696.9	5100	0.804	4708.671766882449
69	1654.2	4800	0.788	4553.631576251123
70	1684.6	5100	0.814	4726.10408573322
71	1642.5	4800	0.81	4685.316855715401
72	1616.7	5100	0.786	4598.846571428355
73	1628.3	5100	0.788	4575.964705751883
74	1715.5	4800	0.814	4681.3478137582315
75	1640.4	4800	0.794	4587.745618657879
76	1644.5	5100	0.794	4629.306086656649
77	1654.1	4800	0.796	4594.137255681373
78	1672.5	4800	0.798	4661.330096713249
79	1679.5	5100	0.8	4628.225082034841
80	1692.7	5400	0.806	4710.003500845682
81	1663.9	4500	0.798	4666.628799762638
82	1624.2	4800	0.792	4668.0285654690115
83	1655.9	4800	0.798	4640.470759408069
84	1667.8	5100	0.79	4673.485838422908
85	1745.4	4800	0.818	4674.365372972884
86	1715.6	4800	0.816	4717.979669646518
87	1641.7	4500	0.802	4677.7422926245345
88	1637.3	4800	0.814	4682.994376214429
89	1667.5	5100	0.816	4662.08853812391
90	1623.8	4800	0.784	4581.765461771294
91	1754.2	4800	0.834	4744.076460889318
92	1716.8	5100	0.832	4786.883526808825
93	1680.5	4800	0.814	4681.838927183864
94	1653.9	4800	0.814	4748.905823444242
95	1642.8	4800	0.806	4629.416668445909
96	1750.6	4800	0.822	4754.457030565343
97	1751.0	5100	0.832	4795.050499807414
98	1729.9	4800	0.836	4744.969667440495
99	1720.5	4800	0.822	4774.857374008304
100	1660.4	4800	0.816	4731.156568431544
