Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	14:31:07	14:31:07	14:31:07			14:31:07	14:31:07	14:31:07	14:31:07	14:31:07	14:31:11	14:31:11	14:31:11	14:31:11	14:31:11	14:31:11			14:31:12	14:31:12		00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:01	00:00:05
1	14:31:13	14:31:13	14:31:13	14:31:13	14:31:13	14:31:13	14:31:13	14:31:13	14:31:13	14:31:13	14:31:16	14:31:16	14:31:16	14:31:16	14:31:16	14:31:16			14:31:18	14:31:18		00:00:00	00:00:00	00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:01	00:00:04
2	14:31:18	14:31:18	14:31:18	14:31:18	14:31:18	14:31:18			14:31:18	14:31:18	14:31:21	14:31:21	14:31:21	14:31:21	14:31:21	14:31:21			14:31:23	14:31:23		00:00:00	00:00:00		00:00:00	00:00:03	00:00:00	00:00:00		00:00:01	00:00:04
3	14:31:23	14:31:23	14:31:23	14:31:23	14:31:23	14:31:23			14:31:23	14:31:23	14:31:25	14:31:25	14:31:25	14:31:25	14:31:25	14:31:25			14:31:26	14:31:26		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:03
4	14:31:27	14:31:27	14:31:27	14:31:27	14:31:27	14:31:27			14:31:27	14:31:27	14:31:29	14:31:29	14:31:29	14:31:29	14:31:29	14:31:29			14:31:30	14:31:30		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:03
5	14:31:30	14:31:30	14:31:30	14:31:30	14:31:30	14:31:30			14:31:30	14:31:30	14:31:33	14:31:33	14:31:33	14:31:33	14:31:33	14:31:33			14:31:33	14:31:33		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
6	14:31:34	14:31:34	14:31:34	14:31:34	14:31:34	14:31:34			14:31:34	14:31:34	14:31:36	14:31:36	14:31:36	14:31:36	14:31:36	14:31:36			14:31:38	14:31:38		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:03
7	14:31:38	14:31:38	14:31:38	14:31:38	14:31:38	14:31:38			14:31:38	14:31:38	14:31:40	14:31:40	14:31:40	14:31:40	14:31:40	14:31:40			14:31:41	14:31:41		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:03
8	14:31:41	14:31:41	14:31:41	14:31:41	14:31:41	14:31:41			14:31:41	14:31:41	14:31:43	14:31:43	14:31:43	14:31:43	14:31:43	14:31:43			14:31:44	14:31:44		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:03
9	14:31:45	14:31:45	14:31:45	14:31:45	14:31:45	14:31:45			14:31:45	14:31:45	14:31:47	14:31:47	14:31:47	14:31:47	14:31:47	14:31:47			14:31:48	14:31:48		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:03
10	14:31:48	14:31:48	14:31:48	14:31:48	14:31:48	14:31:48	14:31:48	14:31:48	14:31:48	14:31:48	14:31:51	14:31:51	14:31:51	14:31:51	14:31:51	14:31:51	14:31:51	14:31:51	14:31:52	14:31:52		00:00:00	00:00:00	00:00:00	00:00:00	00:00:02	00:00:00	00:00:00	00:00:00	00:00:01	00:00:04
11	14:31:53	14:31:53	14:31:53	14:31:53	14:31:53	14:31:53			14:31:53	14:31:53	14:31:55	14:31:55	14:31:55	14:31:55	14:31:55	14:31:55			14:31:56	14:31:56		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:03
12	14:31:56	14:31:56	14:31:56	14:31:56	14:31:56	14:31:56			14:31:56	14:31:56	14:31:58	14:31:58	14:31:58	14:31:58	14:31:58	14:31:58			14:31:59	14:31:59		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
13	14:31:59	14:31:59	14:31:59	14:31:59	14:31:59	14:31:59			14:31:59	14:31:59	14:32:01	14:32:01	14:32:01	14:32:01	14:32:01	14:32:01			14:32:01	14:32:01		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
14	14:32:02	14:32:02	14:32:02	14:32:02	14:32:02	14:32:02			14:32:02	14:32:02	14:32:04	14:32:04	14:32:04	14:32:04	14:32:04	14:32:04			14:32:05	14:32:05		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
15	14:32:05	14:32:05	14:32:05	14:32:05	14:32:05	14:32:05			14:32:05	14:32:05	14:32:06	14:32:06	14:32:06	14:32:06	14:32:06	14:32:06			14:32:08	14:32:08		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
16	14:32:08	14:32:08	14:32:08	14:32:08	14:32:08	14:32:08			14:32:08	14:32:08	14:32:10	14:32:10	14:32:10	14:32:10	14:32:10	14:32:10			14:32:11	14:32:11		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
17	14:32:11	14:32:11	14:32:11	14:32:11	14:32:11	14:32:11			14:32:11	14:32:11	14:32:12	14:32:12	14:32:12	14:32:12	14:32:12	14:32:12			14:32:13	14:32:13		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
18	14:32:14	14:32:14	14:32:14	14:32:14	14:32:14	14:32:14			14:32:14	14:32:14	14:32:15	14:32:15	14:32:15	14:32:15	14:32:15	14:32:15			14:32:16	14:32:16		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
19	14:32:16	14:32:16	14:32:16	14:32:16	14:32:16	14:32:16			14:32:16	14:32:16	14:32:18	14:32:18	14:32:18	14:32:18	14:32:18	14:32:18			14:32:19	14:32:19		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
20	14:32:19	14:32:19	14:32:19	14:32:19	14:32:19	14:32:19	14:32:19	14:32:19	14:32:19	14:32:19	14:32:21	14:32:21	14:32:21	14:32:21	14:32:21	14:32:21	14:32:21	14:32:21	14:32:22	14:32:22		00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00	00:00:00	00:00:01	00:00:03
21	14:32:23	14:32:23	14:32:23	14:32:23	14:32:23	14:32:23			14:32:23	14:32:23	14:32:24	14:32:24	14:32:24	14:32:24	14:32:24	14:32:24			14:32:25	14:32:25		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
22	14:32:25	14:32:25	14:32:25	14:32:25	14:32:25	14:32:25			14:32:25	14:32:25	14:32:27	14:32:27	14:32:27	14:32:27	14:32:27	14:32:27			14:32:28	14:32:28		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
23	14:32:28	14:32:28	14:32:28	14:32:28	14:32:28	14:32:28			14:32:28	14:32:28	14:32:29	14:32:29	14:32:29	14:32:29	14:32:29	14:32:29			14:32:30	14:32:30		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
24	14:32:31	14:32:31	14:32:31	14:32:31	14:32:31	14:32:31			14:32:31	14:32:31	14:32:32	14:32:32	14:32:32	14:32:32	14:32:32	14:32:32			14:32:33	14:32:33		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
25	14:32:33	14:32:33	14:32:33	14:32:33	14:32:33	14:32:33			14:32:33	14:32:33	14:32:35	14:32:35	14:32:35	14:32:35	14:32:35	14:32:35			14:32:36	14:32:36		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
26	14:32:36	14:32:36	14:32:36	14:32:36	14:32:36	14:32:36			14:32:36	14:32:36	14:32:37	14:32:37	14:32:37	14:32:37	14:32:37	14:32:37			14:32:38	14:32:38		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
