NumberOfBuses,BusSpacing,ReRoute,ChangeLegMode,SpeedOfFlood,AverageTimeLast,TripDistanceLast,ModeSplitLast,TotalEvacuationTime
0,120,TRUE,FALSE,120,2504.6,5610.93247503714,1.0,4800
0,120,TRUE,FALSE,180,2504.6,5610.93247503714,1.0,4800
0,120,TRUE,FALSE,240,2504.6,5610.93247503714,1.0,4800
0,120,TRUE,FALSE,300,2504.6,5610.93247503714,1.0,4800
0,120,TRUE,FALSE,360,2504.6,5610.93247503714,1.0,4800
0,120,TRUE,FALSE,420,2504.6,5610.93247503714,1.0,4800
0,120,TRUE,FALSE,480,2504.6,5610.93247503714,1.0,4800
0,120,TRUE,FALSE,540,2504.6,5610.93247503714,1.0,4800
0,120,TRUE,FALSE,600,2504.6,5610.93247503714,1.0,4800
9,600,TRUE,TRUE,120,1542.1,4561.771354221368,0.776,5100
9,660,TRUE,TRUE,120,1668.9,4586.199074087779,0.8,5400
9,720,TRUE,TRUE,120,1540.8,4586.679004831638,0.782,4800
9,780,TRUE,TRUE,120,1663.7,4670.775349333843,0.804,5100
9,840,TRUE,TRUE,120,1509.7,4543.173409926915,0.778,5400
9,900,TRUE,TRUE,120,1627.8,4680.30339251161,0.8,5400
9,960,TRUE,TRUE,120,1514.5,4583.42964603204,0.772,5100
9,1020,TRUE,TRUE,120,1575.8,4605.052127889212,0.776,5100
9,1080,FALSE,TRUE,120,1712.6,4699.987216337192,0.83,5100
9,1140,FALSE,TRUE,120,1641.1,4504.099543869158,0.798,5100
9,1200,FALSE,TRUE,120,1719.5,4682.963154738295,0.816,5100
9,1260,FALSE,TRUE,120,1746.6,4642.688894132254,0.822,5100
9,1320,FALSE,TRUE,120,1825.7,4727.373130295323,0.85,5100
9,1380,FALSE,TRUE,120,1775.4,4679.407563096933,0.83,5100
9,1440,FALSE,TRUE,120,1658.0,4551.839195446937,0.81,4800
9,1500,FALSE,TRUE,120,1583.1,4492.701083826965,0.788,5100
9,1560,FALSE,TRUE,120,1621.3,4576.734558560398,0.796,4800
9,1620,FALSE,TRUE,120,1700.1,4635.695637487526,0.818,5100
9,1680,FALSE,TRUE,120,1616.3,4554.854008307986,0.804,5100
9,1740,FALSE,TRUE,120,1658.7,4648.543706394028,0.816,4800
9,1800,FALSE,TRUE,120,2011.4,4942.3365416738325,0.882,5400
1,120,FALSE,TRUE,120,2539.4,5255.425851619669,0.96,7500
1,180,FALSE,TRUE,120,2546.9,5260.235436568723,0.958,7500
1,240,FALSE,TRUE,120,2399.5,5212.498925162435,0.942,7500
1,300,FALSE,TRUE,120,2144.1,5040.241556499138,0.896,7500
1,360,FALSE,TRUE,120,1999.4,4844.157903200664,0.866,7500
1,420,FALSE,TRUE,120,1726.3,4693.961238522948,0.836,6900
1,480,FALSE,TRUE,120,1873.0,4804.5752022819115,0.868,5400
1,540,FALSE,TRUE,120,1830.7,4747.203033861153,0.85,5400
1,600,FALSE,TRUE,120,1807.2,4704.058595127986,0.85,5400
1,660,FALSE,TRUE,120,1937.1,4794.563797007463,0.882,5400
1,720,FALSE,TRUE,120,1751.8,4711.426332245978,0.838,5100
1,780,FALSE,TRUE,120,1786.0,4731.354335899256,0.846,5400
1,840,FALSE,TRUE,120,1792.7,4712.625234848043,0.836,5700
1,900,FALSE,TRUE,120,1685.4,4672.055073416647,0.828,5400
1,960,FALSE,TRUE,120,1691.6,4671.061832553064,0.828,5400
1,1020,FALSE,TRUE,120,1759.7,4713.906025819644,0.834,5100
1,1080,FALSE,TRUE,120,1687.2,4675.785758597193,0.828,5400
1,1140,FALSE,TRUE,120,1762.4,4720.810261771261,0.836,5100
1,1200,FALSE,TRUE,120,1917.3,4793.892046042627,0.866,6000
1,1260,FALSE,TRUE,120,1681.9,4724.382059930327,0.824,4800
1,1320,FALSE,TRUE,120,1865.1,4733.931937898069,0.846,5400
1,1380,FALSE,TRUE,120,1824.3,4774.929811975501,0.848,5400
1,1440,FALSE,TRUE,120,1812.7,4666.038182397396,0.84,5400
1,1500,FALSE,TRUE,120,1871.3,4819.429814652297,0.856,5400
1,1560,FALSE,TRUE,120,1809.1,4771.223604875363,0.844,5100
1,1620,FALSE,TRUE,120,1894.5,4822.973480831298,0.86,5400
1,1680,FALSE,TRUE,120,1802.2,4713.251674157369,0.846,5100
1,1740,FALSE,TRUE,120,1993.2,4909.117091430555,0.882,5700
1,1800,FALSE,TRUE,120,1949.9,4897.311217103141,0.878,5400
2,120,FALSE,TRUE,120,1749.4,4712.978861218859,0.84,5100
2,180,FALSE,TRUE,120,1863.5,4843.395020596355,0.872,5400
2,240,FALSE,TRUE,120,1863.5,4843.395020596355,0.872,5400
2,300,FALSE,TRUE,120,1863.5,4843.395020596355,0.872,5400
2,360,FALSE,TRUE,120,1863.5,4843.395020596355,0.872,5400
2,420,FALSE,TRUE,120,1911.1,4802.217656001921,0.872,5400
2,480,FALSE,TRUE,120,1873.0,4804.5752022819115,0.868,5400
2,540,FALSE,TRUE,120,1830.7,4747.203033861153,0.85,5400
2,600,FALSE,TRUE,120,1807.2,4704.058595127986,0.85,5400
2,660,FALSE,TRUE,120,1937.1,4794.563797007463,0.882,5400
2,720,FALSE,TRUE,120,1751.8,4711.426332245978,0.838,5100
2,780,FALSE,TRUE,120,1786.0,4731.354335899256,0.846,5400
2,840,FALSE,TRUE,120,1792.7,4712.625234848043,0.836,5700
2,900,FALSE,TRUE,120,1685.4,4672.055073416647,0.828,5400
2,960,FALSE,TRUE,120,1691.6,4671.061832553064,0.828,5400
2,1020,FALSE,TRUE,120,1759.7,4713.906025819644,0.834,5100
2,1080,FALSE,TRUE,120,1687.2,4675.785758597193,0.828,5400
2,1140,FALSE,TRUE,120,1762.4,4720.810261771261,0.836,5100
2,1200,FALSE,TRUE,120,1917.3,4793.892046042627,0.866,6000
2,1260,FALSE,TRUE,120,1681.9,4724.382059930327,0.824,4800
2,1320,FALSE,TRUE,120,1683.1,4619.112753036045,0.818,5100
