NumberOfBuses,BusSpacing,ReRoute,ChangeLegMode,SpeedOfFlood,AverageTimeLast,TripDistanceLast,ModeSplitLast,TotalEvacuationTime
1,1740,TRUE,TRUE,120,1918.7,4912.423899034992,0.872,6000
1,1800,TRUE,TRUE,120,1780.7,4708.656360619963,0.83,5700
2,120,TRUE,TRUE,120,1842.7,4903.995234927848,0.866,5700
2,180,TRUE,TRUE,120,1693.8,4764.942020747197,0.828,5100
2,240,TRUE,TRUE,120,1693.8,4764.942020747197,0.828,5100
2,300,TRUE,TRUE,120,1693.8,4764.942020747197,0.828,5100
2,360,TRUE,TRUE,120,1693.8,4764.942020747197,0.828,5100
2,420,TRUE,TRUE,120,1738.6,4770.432212181311,0.838,5700
2,480,TRUE,TRUE,120,1699.4,4807.1146215711315,0.826,5100
2,540,TRUE,TRUE,120,1648.4,4711.173427601034,0.818,4800
2,600,TRUE,TRUE,120,1689.5,4703.393603624017,0.816,6000
