Number of Buses,Bus Spacing,ReRoute,ChangeLegMode,Speed of Flood,Average Time 1st,Trip distance 1st,Mode Split 100th,Total evacuation time
6,780,FALSE,TRUE,120,1553.7,4457.121328920638,0.776,5100
6,840,FALSE,TRUE,120,1554.7,4546.259860390628,0.786,4800
6,900,FALSE,TRUE,120,1609.2,4484.243204588935,0.784,5100
6,960,FALSE,TRUE,120,1638.3,4568.51988378788,0.796,5100
6,1020,FALSE,TRUE,120,1581.9,4519.842268310065,0.792,4800
6,1080,FALSE,TRUE,120,1565.8,4490.087243661816,0.78,5100
6,1140,FALSE,TRUE,120,1608.0,4465.444576598945,0.782,5400
6,1200,FALSE,TRUE,120,1662.5,4645.794390547826,0.812,5100
6,1260,FALSE,TRUE,120,1505.1,4378.933881748629,0.752,4800
6,1320,FALSE,TRUE,120,1551.4,4458.246956505315,0.768,4800
6,1380,FALSE,TRUE,120,1564.0,4460.550392466207,0.776,4800
6,1440,FALSE,TRUE,120,1733.2,4722.313113569504,0.826,4800
6,1500,FALSE,TRUE,120,1552.4,4427.4232797895065,0.766,4800
6,1560,FALSE,TRUE,120,1522.8,4523.53671303533,0.774,4800
6,1620,FALSE,TRUE,120,1630.0,4568.500106292551,0.796,4800
6,1680,FALSE,TRUE,120,1617.9,4498.183279971395,0.786,5100
6,1740,FALSE,TRUE,120,1625.6,4523.996168857506,0.792,5100
6,1800,FALSE,TRUE,120,1651.3,4523.73590202283,0.796,5100
7,120,FALSE,TRUE,120,1945.2,4861.396561530948,0.874,5700
7,180,FALSE,TRUE,120,1577.4,4515.406234609767,0.78,4800
7,240,FALSE,TRUE,120,1477.2,4429.030166752666,0.758,4800
7,300,FALSE,TRUE,120,1476.8,4415.342908223601,0.748,4800
7,360,FALSE,TRUE,120,1479.1,4389.275710794004,0.746,4800
7,420,FALSE,TRUE,120,1682.4,4631.663079496387,0.818,5100
7,480,FALSE,TRUE,120,1579.0,4506.420645339531,0.78,5100
7,540,FALSE,TRUE,120,1545.6,4506.480321342186,0.774,4800
