ITERATION	AvgTripDuration	EvacuationEndSeconds	CarRatio	AvgTravelDistance
0	6513.1	14100	1.0	3697.0105883426195
1	6148.6	13500	0.948	3740.6427887628697
2	6010.4	13200	0.916	3778.2326136837864
3	5915.7	13200	0.916	3772.068109404807
4	5665.1	12600	0.89	3792.476722950893
5	5499.4	12300	0.868	3817.7391877065384
6	5304.7	12000	0.844	3844.0425537285378
7	5318.3	12000	0.846	3855.4725358781593
8	5047.0	11400	0.82	3877.1754494919005
9	4916.0	11100	0.796	3909.774570886238
10	4908.2	11100	0.81	3921.1843575770017
11	4634.1	10500	0.778	3957.849589013422
12	4519.9	10200	0.764	3968.6045426039072
13	4376.4	9900	0.754	3995.7643864335037
14	4226.4	9600	0.764	4012.449784705928
15	4139.4	9300	0.748	4055.7291700576275
16	4100.4	9000	0.748	4075.731928694347
17	4033.0	9000	0.748	4093.9469761179207
18	3887.4	8700	0.74	4118.209227043964
19	3909.3	8700	0.736	4119.747163660969
20	3808.6	8400	0.73	4154.884332224277
21	3714.7	7800	0.722	4184.2664797458565
22	3593.0	7500	0.72	4215.276241329406
23	3583.2	7500	0.73	4222.31671661728
24	3518.6	7500	0.72	4244.63108276412
25	3448.8	7500	0.73	4266.478185006968
26	3470.9	7800	0.73	4272.461919373601
27	3399.0	7500	0.734	4291.181009459371
28	3271.2	7500	0.732	4300.273074102476
29	3319.2	7500	0.734	4318.704041784313
30	3244.9	7500	0.732	4330.004442858209
31	3249.5	7500	0.762	4349.216628671885
32	3246.9	7500	0.758	4367.359639348047
33	3171.1	7500	0.754	4368.7508781392235
34	3145.6	7500	0.772	4390.362582920614
35	3100.2	7500	0.774	4423.155535774835
36	3033.7	7500	0.77	4436.429685452939
37	3026.4	7500	0.788	4439.342027338922
38	2993.5	7500	0.784	4479.195823768278
39	2932.8	7500	0.786	4512.845910497307
40	2922.0	7500	0.788	4520.148345964828
41	2935.5	7500	0.8	4571.877386794703
42	2893.9	7500	0.802	4586.163198572019
43	2868.3	7500	0.794	4593.90233178156
44	2861.3	7500	0.792	4607.20780919164
45	2841.2	7500	0.806	4642.994220711617
46	2762.0	7500	0.806	4662.829138799529
47	2742.0	7500	0.81	4700.448912963157
48	2810.9	7500	0.822	4689.849835046769
49	2763.0	7500	0.83	4709.519371466342
50	2743.3	7500	0.826	4690.574763106679
51	2751.5	7500	0.834	4711.717749036993
52	2750.7	7500	0.836	4742.086199893071
53	2695.0	7500	0.844	4752.63948527413
54	2726.1	7500	0.838	4783.802356036253
55	2737.2	7500	0.838	4802.055067933744
56	2695.9	7500	0.852	4791.837778396435
57	2689.0	7500	0.864	4880.943694419517
58	2636.5	7500	0.86	4849.219054767429
59	2659.9	7500	0.872	4865.452063805362
60	2639.4	7500	0.864	4902.561034315448
61	2615.3	7500	0.866	4944.507314862868
62	2674.6	7500	0.86	4935.67599077229
63	2580.5	7500	0.88	4965.217257925442
64	2550.3	7500	0.872	4966.811857460683
65	2576.4	7500	0.884	5008.174303341914
66	2634.8	7500	0.884	5021.784155134414
67	2628.7	7500	0.878	5044.22757676711
68	2599.1	7500	0.89	5035.439702030069
69	2521.5	7500	0.878	5006.54373073156
70	2569.0	7500	0.886	5023.819877887903
71	2553.7	7500	0.89	5018.250890716944
72	2531.8	7500	0.884	5059.204978045592
73	2519.8	7500	0.898	5044.442516796001
74	2484.2	7500	0.906	5043.809640760347
75	2481.4	7500	0.896	5036.689267593773
76	2511.9	7500	0.888	5049.4904338572605
77	2460.6	7500	0.89	5022.302513925175
78	2473.9	7500	0.9	5062.0893688411
79	2478.2	7500	0.91	5055.550048356985
80	2466.2	7500	0.91	5081.460802337432
81	2491.0	7500	0.92	5099.409072954527
82	2449.3	7500	0.912	5097.133519509994
83	2473.5	7500	0.908	5098.718039591533
84	2478.4	7500	0.916	5091.8883088202965
85	2482.6	7500	0.906	5117.294490813506
86	2466.3	7500	0.92	5158.608151565478
87	2432.5	7500	0.928	5118.413024225353
88	2447.9	7500	0.91	5156.966017774391
89	2458.4	7500	0.922	5177.428906306449
90	2436.5	7500	0.932	5191.43339018189
91	2420.9	7500	0.932	5153.519170501774
92	2481.4	7500	0.928	5188.186315607705
93	2442.2	7500	0.926	5208.385626891397
94	2453.4	7500	0.918	5214.274048645803
95	2412.8	7500	0.936	5171.469784782513
96	2448.7	7500	0.942	5189.025389996238
97	2500.5	7500	0.936	5181.863612157793
98	2454.3	7500	0.928	5230.162243466854
99	2390.2	7500	0.938	5194.1340772722615
100	2420.9	7500	0.934	5198.02727138624
