Iteration	car	pt	walk
0	1.0	0.0	0.0
1	0.948	0.052	0.0
2	0.912	0.088	0.0
3	0.902	0.098	0.0
4	0.874	0.126	0.0
5	0.848	0.152	0.0
6	0.822	0.178	0.0
7	0.82	0.18	0.0
8	0.794	0.206	0.0
9	0.77	0.23	0.0
10	0.772	0.228	0.0
11	0.738	0.262	0.0
12	0.724	0.276	0.0
13	0.714	0.286	0.0
14	0.724	0.276	0.0
15	0.712	0.288	0.0
16	0.71	0.29	0.0
17	0.706	0.294	0.0
18	0.696	0.304	0.0
19	0.692	0.308	0.0
20	0.688	0.312	0.0
21	0.682	0.318	0.0
22	0.676	0.324	0.0
23	0.682	0.318	0.0
24	0.674	0.326	0.0
25	0.68	0.32	0.0
26	0.68	0.32	0.0
27	0.676	0.324	0.0
28	0.666	0.334	0.0
29	0.674	0.326	0.0
30	0.676	0.324	0.0
31	0.702	0.298	0.0
32	0.696	0.304	0.0
33	0.704	0.296	0.0
34	0.714	0.286	0.0
35	0.716	0.284	0.0
36	0.724	0.276	0.0
37	0.734	0.266	0.0
38	0.724	0.276	0.0
39	0.73	0.27	0.0
40	0.726	0.274	0.0
41	0.738	0.262	0.0
42	0.736	0.264	0.0
43	0.74	0.26	0.0
44	0.734	0.266	0.0
45	0.734	0.266	0.0
46	0.742	0.258	0.0
47	0.744	0.256	0.0
48	0.748	0.252	0.0
49	0.768	0.232	0.0
50	0.756	0.244	0.0
51	0.762	0.238	0.0
52	0.76	0.24	0.0
53	0.77	0.23	0.0
54	0.774	0.226	0.0
55	0.764	0.236	0.0
56	0.778	0.222	0.0
57	0.772	0.228	0.0
58	0.79	0.21	0.0
59	0.79	0.21	0.0
60	0.79	0.21	0.0
61	0.768	0.232	0.0
62	0.76	0.24	0.0
63	0.794	0.206	0.0
64	0.782	0.218	0.0
65	0.784	0.216	0.0
66	0.796	0.204	0.0
67	0.78	0.22	0.0
68	0.79	0.21	0.0
69	0.78	0.22	0.0
70	0.778	0.222	0.0
71	0.776	0.224	0.0
72	0.77	0.23	0.0
73	0.778	0.222	0.0
74	0.79	0.21	0.0
75	0.774	0.226	0.0
76	0.77	0.23	0.0
77	0.766	0.234	0.0
78	0.77	0.23	0.0
79	0.782	0.218	0.0
80	0.784	0.216	0.0
81	0.786	0.214	0.0
82	0.786	0.214	0.0
83	0.77	0.23	0.0
84	0.788	0.212	0.0
85	0.778	0.222	0.0
86	0.788	0.212	0.0
87	0.786	0.214	0.0
88	0.766	0.234	0.0
89	0.782	0.218	0.0
90	0.794	0.206	0.0
91	0.798	0.202	0.0
92	0.796	0.204	0.0
93	0.802	0.198	0.0
94	0.784	0.216	0.0
95	0.802	0.198	0.0
96	0.818	0.182	0.0
97	0.804	0.196	0.0
98	0.794	0.206	0.0
99	0.802	0.198	0.0
100	0.79	0.21	0.0
